genus,species,age_maturity_days_female_reference,age_maturity_days_male_reference,logic_source_for_dispersal_distance,source_for_maximum_body_size,average_body_size_female_reference,average_body_size_male_reference,logic_source_for_season_inactive,source_logic_for_migration_info,logic_source_season_when_away,logic.source_for_Home.range.size,lifespan_days_reference
Canthon,humectus,,,"Verdú & Lobo, 2008","Dunlap et al., 2015",,,"Ortega-Martínez et al., 2014","IUCN, 2020",,,"Verdú, 2011"
Gayralia,sp,,,,,,,,,,,
Anguilla,australis,"Gomon & Bray, 2018","Gomon & Bray, 2018","IUCN, 2020;Beumer, 1979","Froese & Pauly, 2000",,,,"IUCN, 2020","Tudorache et al., 2015;IUCN, 2020","Beumer, 1979","De Magalhães & Costa, 2009"
Anguilla,dieffenbachii,"Doole, 2005","Doole, 2005","R. M. McDowall, 2010","Froese & Pauly, 2000",,,,"IUCN, 2020","Palstra & van den Thillart, 2010;Froese & Pauly, 2000","Chisnall & Kalish, 1993","McEwan & Joy, 2016"
Apogon,pacificus,,,"IUCN, 2020","Froese & Pauly, 2000",,,"Froese & Pauly, 2000",,,,
Chaenocephalus,aceratus,"M. La Mesa et al., 2004","M. La Mesa et al., 2004","Damerau et al., 2014","Froese & Pauly, 2000",,,,"Reid et al., 2007","Papetti et al., 2012;Detrich et al., 2005",,"Saveliev et al., 2006"
Chionodraco,rastrospinosus,"M. La Mesa & Ashford, 2008","M. La Mesa & Ashford, 2008","Papetti et al., 2012","Froese & Pauly, 2000;M. La Mesa & Ashford, 2008","M. La Mesa & Ashford, 2008","M. La Mesa & Ashford, 2008",,"Papetti et al., 2012",,,"Saveliev et al., 2006"
Cirrhitichthys,oxycephalus,,,https://media.nature.com/original/nature-assets/ncomms/2014/141121/ncomms6575/extref/ncomms6575-s2.docx,"Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Mora & Ospína, 2001;Grove & Lavenberg, 1997",,,"Pixie Hawkfish (Cirrhitichthys oxycephalus), n.d."
Culaea,inconstans,"Eakins, 2020a","Eakins, 2020a","Jacobus & Webb, 2005;Manion, 1977;Stewart et al., 2007","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000;Eakins, 2020a"
Bathygobius,soporator,"Tavolga, 1954;K. M. Peters, 1983","Tavolga, 1954;K. M. Peters, 1983","K. M. Peters, 1983","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Froese & Pauly, 2000",,,"Niyonkuru et al., 2007"
