genus,species,age_maturity_days_female_reference,age_maturity_days_male_reference,logic_source_for_dispersal_distance,source_for_maximum_body_size,average_body_size_female_reference,average_body_size_male_reference,logic_source_for_season_inactive,source_logic_for_migration_info,logic_source_season_when_away,logic.source_for_Home.range.size,lifespan_days_reference
Coryphopterus,urospilus,"Victor et al., 2010","Victor et al., 2010","Victor et al., 2010","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Mora & Ospína, 2001;Grove & Lavenberg, 1997",,,
Halichoeres,dispilus,,,"Victor & Wellington, 2000","Froese & Pauly, 2000",,,"Froese & Pauly, 2000",,,,"Snow, n.d."
Thalassoma,lucasanum,,,"Wellington & Victor, 1992","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Warner, 1982",,,"Snow, n.d."
Lutjanus,guttatus,"Sarabia-Méndez et al., 2010","Sarabia-Méndez et al., 2010","Zapata & Herrón, 2002","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Bayona-Vásquez et al., 2017",,,"Gonzalez-Ochoa et al., 2009"
Poecilia,mexicana,"Froese & Pauly, 2000","Froese & Pauly, 2000","Riesch et al., 2010","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","IUCN, 2020",,"Balsano et al., 1985","Shortfin Molly (Poecilia mexicana), n.d."
Acris,crepitans,"Oliveira et al., 2017","Oliveira et al., 2017","AmphibiaWeb, 2020","Oliveira et al., 2017",,,"AmphibiaWeb, 2020;Meyers et al., 2015",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Ambystoma,jeffersonianum,"Oliveira et al., 2017","Oliveira et al., 2017","AmphibiaWeb, 2020","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Faccio, 2003","Meyers et al., 2015"
Ambystoma,macrodactylum,"Oliveira et al., 2017","Oliveira et al., 2017","Funk & Dunlap, 1999","Oliveira et al., 2017;A. P. Russell et al., 1996",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Ambystoma,maculatum,"Oliveira et al., 2017","Oliveira et al., 2017","Madison, 1997","Oliveira et al., 2017",,,"Gatz, 1973;AmphibiaWeb, 2020",,,"Meyers et al., 2015","Oliveira et al., 2017;AmphibiaWeb, 2020"
Ambystoma,tigrinum,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","AmphibiaWeb, 2020;Madison & Farrand, 1998","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Madison & Farrand, 1998;AmphibiaWeb, 2020","AmphibiaWeb, 2020"
Lagopus,lagopus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Brøseth et al., 2005;Hörnell-Willebrand et al., 2014","Meyers et al., 2015",,,,"IUCN, 2020",,"Brøseth et al., 2005","De Magalhães & Costa, 2009"
Laudakia,stellio,"Ergül et al., 2014","Ergül et al., 2014","Ibrahim & El-Naggar, 2013","Ergül et al., 2014","Ergül et al., 2014","Ergül et al., 2014",,"Southwood & Avens, 2010",,,"Ergül et al., 2014"
Anolis,cybotes,"Licht & Gorman, 1970","Licht & Gorman, 1970","Fobes et al., 1992","Conant & Collins, 1998","M. A. Johnson & Wade, 2010","M. A. Johnson & Wade, 2010",,"Fobes et al., 1992",,"Fobes et al., 1992",
Anolis,krugi,"Gorman & Licht, 1974",,"RodrÍguez-Robles et al., 2010",,"Mowbray, n.d.-b","Mowbray, n.d.-b",,,,,
Anolis,pulchellus,,,"Gorman & Harwood, 1977",,"Huyghe et al., 2007","Huyghe et al., 2007",,,,"Gorman & Harwood, 1977",
Anolis,semilineatus,,,,"Cochran, 1941",,,,,,,
Cophosaurus,texanus,"Ballinger et al., 1972;Sugg et al., 1995","Schrank & Ballinger, 1973;Sugg et al., 1995","Franco, 2015","Degenhardt et al., 2016","Degenhardt et al., 2016","Degenhardt et al., 2016","Sugg et al., 1995","Howland, 1992",,"Verwaijen & Van Damme, 2008","Sugg et al., 1995"
Dipsosaurus,dorsalis,"Krekorian, 1984","Krekorian, 1984","Krekorian, 1984","Hulse, 1992","Meyers et al., 2015","Meyers et al., 2015","Moberly, 1963","Krekorian, 1984",,"Krekorian, 1984","De Magalhães & Costa, 2009"
Sceloporus,grammicus,"Jiménez-Cruz et al., 2005","Jiménez-Cruz et al., 2005","Hall & Selander, 1973","Guillette & Casas-Andreu, 1980","Hernández-Salinas et al., 2010","Hernández-Salinas et al., 2010","Andrews, 1998",,,,
Sceloporus,occidentalis,"Goldberg, 1973","Goldberg, 1974","Massot et al., 2003","Davis, 1967","Davis, 1967","Davis, 1967","Goldberg, 1973","Southwood & Avens, 2010",,"Tanner & Hopkin, 1971","Davis, 1967"
Lacerta,agilis,"Roitberg & Smirina, 2006;Guarino et al., 2010",,"M. Olsson et al., 1996","Guarino et al., 2010","Guarino et al., 2010","Guarino et al., 2010","Saveliev et al., 2006","Southwood & Avens, 2010",,"M. Olsson et al., 1996","Olsson & Shine, 1996"
Podarcis,tilliguerta,,,"Mangiacotti et al., 2013",,"Biaggini et al., 2013","Biaggini et al., 2013",,"Southwood & Avens, 2010",,,"Jesus, 2012"
Takydromus,septentrionalis,"Du et al., 2005",,"Xiang & Peichao, 1989","Du et al., 2006",,,"IUCN, 2020",,,"Xiang & Peichao, 1989",
Zootoca,vivipara,"Sorci & Clobert, 1995","Sorci & Clobert, 1995","Strijbosch et al., 1983",,"Pilorge, 1987","Pilorge, 1987","Bauwens, 1981;Pilorge, 1987","Southwood & Avens, 2010",,"Ortega-Rubio et al., 1988","Avery, 1975"
Rattus,fuscipes,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Peakall et al., 2003","K. E. Jones et al., 2009",,,"Glanville & Seebacher, 2010","Green & Osborne, 1981",,"Peakall et al., 2003","J. M. Taylor & Calaby, 1988"
Anaxyrus,americanus,"AmphibiaWeb, 2020","AmphibiaWeb, 2020","AmphibiaWeb, 2020","Oliveira et al., 2017","Meyers et al., 2015","Meyers et al., 2015","Meyers et al., 2015",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020;Meyers et al., 2015"
Desmarestia,viridis,"Hiroyuki Nakahara, 1984","Hiroyuki Nakahara, 1984","Norton, 1992","Desmarestia viridis, n.d.",,,"Blain & Gagnon, 2013",,,,"Blain & Gagnon, 2013"
Desmarestia,aculeata,"Ramirez et al., 1986","Ramirez et al., 1986","Norton, 1992","Johannesson et al., 2000",,,"Chapman & Burrows, 1971",,,,"A. L. Baker et al., 2012"
Desmarestia,herbacea,"Zepp, 2017","Zepp, 2017","Norton, 1992;Reed et al., 1997;Zepp, 2017","WoRMS Editorial Board, 2020",,,"Reed et al., 1997",,,,"M. S. Edwards, 1998"
Desmarestia,willii,,,"Norton, 1992","Kim et al., 2001",,,,,,,"Bellemo et al., 2001"
Dictyosiphon,foeniculaceus,"Peters & Müller, 1985;Saga, 1986","Saga, 1986","Peters & Müller, 1985","AlgaeBase, 2006;Gosner, 1979",,,"Lindeberg & Lindstrom, n.d.;Peters & Müller, 1985",,,,"Lindeberg & Lindstrom, n.d."
Dictyosiphon,hirsutus,"Peters, 1992a","Peters, 1992a","Peters, 1992a","Peters, 1992a",,,"Peters, 1992a",,,,"Peters, 1992a"
Dumontia,contorta,"Rietema & Klein, 1981","Rietema & Klein, 1981",,"Pot et al., 1988",,,"Wilce & Davis, 1984",,,,"Rietema & Klein, 1981"
Haplogloia,andersonii,"Peters, 1992b","Peters, 1992b",,"DeCew & Silva, 2006",,,"DeCew & Silva, 2006",,,,
Sphaerotrichia,divaricata,"Umezaki, 1990","Umezaki, 1990","A. F. Peters et al., 1993","van Den Hoek et al., 1995;Umezaki, 1990",,,"van Den Hoek et al., 1995;A. F. Peters et al., 1993",,,,"Novaczek & McLachlan, 1987"
Tinocladia,falklandica,,,,"AlgaeBase, 2006",,,,,,,
Trachynema,groenlandicum,,,"Norton, 1992","Pedersen, 1985",,,,,,,
Laminaria,longicruris,"Chapman, 1986","Chapman, 1986","Norton, 1992","Chmura et al., 2007;Harvey, 1857",,,"Egan & Yarish, 1990",,,,"Harvey, 1857"
Gigartina,teedii,"Guiry, 1984","Guiry, 1984","Guiry, 1984","Guiry, 1984",,,,,,,"Harvey, 1857"
Anisotome,imbricata,,,"Thorsen et al., 2009","Thorsen et al., 2009",,,,,,,"C. S. Brown et al., 2006"
Artemisia,californica,"Pratt et al., 2014","Pratt et al., 2014","Umezaki, 1990","Umezaki, 1990",,,,,,,"Montalvo et al., 2017"
Celmisia,haastii,,,"Spence, 1990;Thorsen et al., 2009","Celmisia Species, New Zealand Daisy, n.d.",,,,,,,"Hadley & Rosen, 1974"
Celmisia,viscosa,"A. D. Campbell, 1980","A. D. Campbell, 1980","Spence, 1990",,,,,,,,
Encelia,farinosa,"Umezaki, 1990","Montalvo, 2004","D. E. Brown & Minnich, 1986","Umezaki, 1990",,,,,,,"Fehlberg & Ranker, 2009"
Atriplex,hymenelytra,"Reed, 1993","Reed, 1993",,"Atriplex hymenelytra, n.d.-b",,,,,,,"Atriplex hymenelytra, n.d.-a"
Atriplex,leucophylla,"Reed, 1993","Reed, 1993",,"Zacharias, 2013",,,,,,,"“Atriplex leucophylla,” 2020"
Silene,acaulis,"Morris & Doak, 1998","Morris & Doak, 1998","Gehring & Delph, 1999","Silene acaulis, n.d.",,,,,,,"Morris & Doak, 1998"
Hectorella,caespitosa,,,,"Breitwieser et al., 2020",,,,,,,"Morton & Allan, 1967"
Eriogonum,latifolium,,,"Riley et al., 2019","Reveal & Rosatti, 2012",,,"Dziminski & Alford, 2005",,,"Simkins et al., 2011","USDA, 2006"
Eriogonum,fasciculatum,"Umezaki, 1990","Umezaki, 1990","Umezaki, 1990","Eriogonum fasciculatum, n.d.",,,,,,,"Sawyer et al., 2001"
Dracophyllum,muscoides,,,"Thorsen et al., 2009","de Lange, 2020",,,,,,,
Salvia,leucophylla,,,,"Averett, 2012a",,,,,,,"USDA, 2006"
Salvia,mohavensis,,,,"Averett, 2012b",,,,,,,"USDA, 2006"
Bromus,tectorum,"Zouhar, 2003","Zouhar, 2003","Zouhar, 2003","Zouhar, 2003",,,,,,,"Zouhar, 2003"
Bromus,rubens,"Wu & Jain, 1979","Wu & Jain, 1979","Chambers et al., 2016;CABI, 2020b","CABI, 2020b",,,,,,,"“Bromus rubens,” 2020"
Poa,colensoi,,,"Spence, 1990","Basher & Lynn, 1996",,,,,,,"Connor, 1963"
Palirhoeus,eatoni,,,"Chown & Klok, 2001a","Janse van Rensburg, 2006","Chown & Klok, 2001b","Chown & Klok, 2001b",,,,,
Calathus,melanocephalus,"Filippov, 2006","Filippov, 2006","Aukema, 1995","Van Noordwijk et al., 2015",,,"Filippov, 2006;“Calathus melanocephalus,” 2009",,,,"Filippov, 2006"
Glossina,pallidipes,"Ackley & Hargrove, 2017;“Tsetse fly,” n.d.","Ackley & Hargrove, 2017;“Tsetse fly,” n.d.","B. Williams et al., 1992","Schofield, 1986",,,,"Brightwell et al., 1997",,,"Clutton-Brock & Langley, 1997"
Myrmecocystus,depilis,"“Myrmecocystus,” n.d.",,"“Myrmecocystus mexicanus,” n.d.","“Myrmecocystus depilis,” n.d.",,,"“Myrmecocystus species group,” n.d.",,,"Cole et al., 2001","Holldobler & Wilson, 1990"
Alosa,pseudoharengus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Spares et al., 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Saila et al., 1972;Durbin et al., 1979","Meyers et al., 2015","Meyers et al., 2015;CABI, 2020a"
Catostomus,clarkii,"NatureServe, 2020","NatureServe, 2020","Booth et al., 2013","Froese & Pauly, 2000",,,,"IUCN, 2020",,"Booth et al., 2013","NatureServe, 2020"
Agosia,chrysogaster,"Winther, 1962","Winther, 1962","Minckley & Barber, 1971","Winther, 1962",,,"Minckley & Barber, 1971","IUCN, 2020",,,"NatureServe, 2020"
Gila,robusta,"NatureServe, 2020","NatureServe, 2020","Brouder et al., 2000","Froese & Pauly, 2000",,,"Gila robusta jordani, 1990","IUCN, 2020",,"Brouder et al., 2000","NatureServe, 2020"
Meda,fulgida,"NatureServe, 2020","NatureServe, 2020","Propst et al., 1986","Froese & Pauly, 2000",,,"NatureServe, 2020","IUCN, 2020",,,"NatureServe, 2020"
Pogonichthys,macrolepidotus,"NatureServe, 2020","NatureServe, 2020","Baerwald et al., 2007;Moyle et al., 2004","Froese & Pauly, 2000",,,"NatureServe, 2020","IUCN, 2020",,"Sommer et al., 2008","NatureServe, 2020"
Rhinichthys,cobitis,"NatureServe, 2020","NatureServe, 2020",,"NatureServe, 2020",,,"NatureServe, 2020","IUCN, 2020",,,"Froese & Pauly, 2000"
Cyprinodon,macularius,"NatureServe, 2020","NatureServe, 2020","G. W. Barlow, 1958","Froese & Pauly, 2000",,,,"IUCN, 2020",,,"Froese & Pauly, 2000"
Galaxias,fasciatus,"IUCN, 2020","IUCN, 2020","Akbaripasand et al., 2011","Froese & Pauly, 2000",,,,"Hopkins, 1979","Hopkins, 1979",,"IUCN, 2020"
Galaxias,maculatus,"IUCN, 2020","IUCN, 2020","Delgado et al., 2019","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Froese & Pauly, 2000","Barriga et al., 2007;Ergül et al., 2014",,"IUCN, 2020"
Gillichthys,mirabilis,"G. Barlow, 1963","G. Barlow, 1963","McGourty et al., 2009;Yoklavich et al., 1992;Moser, 1996","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","NatureServe, 2020","IUCN, 2020",,"Bano et al., 2007","Froese & Pauly, 2000"
Ambassis,ambassis,"Milton & Arthington, 1985","Milton & Arthington, 1985","Dyer et al., 2015","Froese & Pauly, 2000",,,,"IUCN, 2020",,,"Milton & Arthington, 1985"
Apogon,dovii,,,"IUCN, 2020","Froese & Pauly, 2000",,,,"IUCN, 2020",,,
Lipophrys,pholis,"M. G. Carvalho et al., 2017","M. G. Carvalho et al., 2017","M. G. Carvalho et al., 2017","Froese & Pauly, 2000",,,,"IUCN, 2020",,"Gibson, 1967","De Magalhães & Costa, 2009;Froese & Pauly, 2000"
Lipophrys,trigloides,,,"Macpherson & Raventos, 2006","Froese & Pauly, 2000",,,,,,,
Carpiodes,cyprinus,"Parker & Franzin, 1991","Parker & Franzin, 1991","NatureServe, 2020","Parker & Franzin, 1991","Parker & Franzin, 1991","Parker & Franzin, 1991",,"NatureServe, 2020","NatureServe, 2020",,"Meyers et al., 2015"
Catostomus,commersonii,"Meyers et al., 2015","Meyers et al., 2015","Meyers et al., 2015;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","NatureServe, 2020;Meyers et al., 2015",,"Meyers et al., 2015"
Ambloplites,rupestris,"Meyers et al., 2015","Meyers et al., 2015","Sabat, 1994;MacLean & Teleki, 1977","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Meyers et al., 2015","NatureServe, 2020","MacLean & Teleki, 1977","MacLean & Teleki, 1977","Meyers et al., 2015;Froese & Pauly, 2000"
Lepomis,cyanellus,"Meyers et al., 2015","NatureServe, 2020","Smithson & Johnston, 1999","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020",,"Berra & Gunning, 1973","De Magalhães & Costa, 2009"
Lepomis,gibbosus,"Meyers et al., 2015","W. B. Scott & Crossman, 1973","McCairns & Fox, 2004","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020",,"McCairns & Fox, 2004","Eakins, 2020b"
Lepomis,macrochirus,"Peterson et al., 2010","Peterson et al., 2010","Hohausová et al., 2010","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020",,"Bluegill, n.d.","De Magalhães & Costa, 2009"
Lepomis,megalotis,https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf,https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf,"Smithson & Johnston, 1999","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Fentress et al., 2006",,"Berra & Gunning, 1973","Meyers et al., 2015;De Magalhães & Costa, 2009"
Micropterus,punctulatus,"NatureServe, 2020","NatureServe, 2020","Hunter & Maceina, 2008","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020",,"Hunter & Maceina, 2008","Froese & Pauly, 2000"
Pomoxis,annularis,"Meyers et al., 2015","Meyers et al., 2015","Markham et al., 1991","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","NatureServe, 2020","NatureServe, 2020",,"Meyers et al., 2015","Meyers et al., 2015"
Pomoxis,nigromaculatus,"Nelson, 1974;Meyers et al., 2015","Meyers et al., 2015;Nelson, 1974","Guy et al., 1992","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Guy et al., 1992","Meyers et al., 2015"
Lates,calcarifer,"Meyers et al., 2015;Froese & Pauly, 2000","Meyers et al., 2015","D. J. Russell & Garrett, 1988;Chenoweth et al., 1998;Moore & Reynold, 1982","Froese & Pauly, 2000",,,,"IUCN, 2020","Moore & Reynold, 1982;Meyers et al., 2015",,"Balston, 2009"
Gymnocharacinus,bergii,"Cussac & Ortubay, 2002","Cussac & Ortubay, 2002","IUCN, 2020;Cussac & Ortubay, 2002","Froese & Pauly, 2000",,,,"IUCN, 2020",,"IUCN, 2020","Cussac & Ortubay, 2002"
Etroplus,suratensis,"Shubodha, 2012","Shubodha, 2012","Chandrasekar et al., 2019;Bindu & Padmakumar, 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","IUCN, 2020",,"Mohideen et al., 2014","Pon Saravana Karman et al., 2014"
Cottus,gobio,"IUCN, 2020","IUCN, 2020","Hänfling et al., 2002","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Fischer & Kummer, 2000",,"Hänfling et al., 2002","Froese & Pauly, 2000"
Carassius,carassius,"Tarkan et al., 2016","Tarkan et al., 2016","Jeffries et al., 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Müller & Berg, 1982",,"Froese & Pauly, 2000"
Chrosomus,erythrogaster,"NatureServe, 2020","NatureServe, 2020","Walker et al., 2013","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Walker et al., 2013","Froese & Pauly, 2000;NatureServe, 2020"
Cyprinella,lutrensis,"NatureServe, 2020","NatureServe, 2020",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Cyprinella,spiloptera,"NatureServe, 2020","NatureServe, 2020",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"NatureServe, 2020;Froese & Pauly, 2000"
Danio,rerio,"Singleman & Holtzman, 2014","Singleman & Holtzman, 2014","Gratton et al., 2004","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Braithwaite & De Perera, 2006",,,"IUCN, 2020"
Gobio,gobio,"IUCN, 2020","IUCN, 2020","Stott, 1967","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Flammarion et al., 1999",,"Stott, 1967;Stott, 1967","IUCN, 2020"
Hybognathus,placitus,"C. M. Taylor & Miller, 1990","C. M. Taylor & Miller, 1990","Osterhaus & Martin, 2019","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"C. M. Taylor & Miller, 1990"
Hypophthalmichthys,nobilis,"IUCN, 2020","IUCN, 2020","L. M. Peters et al., 2006","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","L. M. Peters et al., 2006;Froese & Pauly, 2000",,"Froese & Pauly, 2000"
Luxilus,chrysocephalus,"Eakins, 2020c","Eakins, 2020c","Lonzarich et al., 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Lonzarich et al., 2000","Simmons & Beckman, 2012"
Luxilus,cornutus,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Notemigonus,crysoleucas,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Meyers et al., 2015;Froese & Pauly, 2000"
Notropis,atherinoides,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Huenemann et al., 2015"
Notropis,hudsonius,"NatureServe, 2020;Peer, 1966","NatureServe, 2020;Peer, 1966","Choy et al., 2008","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Happel et al., 2015","Peer, 1966"
Notropis,rubellus,"Wichert & Rapport, 1998","Wichert & Rapport, 1998","IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Notropis,stramineus,"Peer, 1966","Peer, 1966","IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Huenemann et al., 2015"
Pimephales,notatus,"NatureServe, 2020","NatureServe, 2020","Jacquemin et al., 2013;Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Meyers et al., 2015;Froese & Pauly, 2000"
Rhinichthys,osculus,"NatureServe, 2020;Peden & Hughes, 1981",,"Robinson et al., 1998","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"NatureServe, 2020"
Siphateles,bicolor,"NatureServe, 2020","NatureServe, 2020",,"Froese & Pauly, 2000",,,,"IUCN, 2020",,,"Finger & May, 2015"
Squalius,cephalus,"IUCN, 2020","IUCN, 2020","Říha et al., 2013;Fredrich et al., 2003","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Fredrich et al., 2003;Filipović Marijić & Raspor, 2014","Fredrich et al., 2003","IUCN, 2020"
Cyprinodon,bovinus,"Hanna et al., 2015","Hanna et al., 2015",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","S. E. Kennedy, 1977","IUCN, 2020",,,"NatureServe, 2020"
Cyprinodon,dearborni,"Kristensen, 1970","Kristensen, 1970",,"Froese & Pauly, 2000;Debrot, 2003",,,"Froese & Pauly, 2000","Kristensen, 1970",,,
Cyprinodon,nevadensis,"NatureServe, 2020","NatureServe, 2020","NatureServe, 2020","Froese & Pauly, 2000;Debrot, 2003","Froese & Pauly, 2000;   (Debrot+ A. O. (2003). A review of the freshwater fishes of Curaçao+ with comments on those of Aruba and Bonaire. Caribbean Journal of Science+ 39(1)+ 100-108.)","Froese & Pauly, 2000; Debrot, 2003",,"IUCN, 2020",,,"Gerking & Lee, 1982"
Gobiomorphus,basalis,"IUCN, 2020","IUCN, 2020",,"Froese & Pauly, 2000",,,,"IUCN, 2020",,,"IUCN, 2020"
Gobiomorphus,cotidianus,"IUCN, 2020","IUCN, 2020","Van Den Heuvel et al., 2007;Landman et al., 2010","Froese & Pauly, 2000",,,,"IUCN, 2020","Michel et al., 2008",,"IUCN, 2020"
Fundulus,diaphanus,"Phillips et al., 2007",,"Hoare et al., 2000;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Phillips et al., 2007"
Fundulus,heteroclitus,"NatureServe, 2020","NatureServe, 2020","Fritz et al., 1975;D. R. Brown et al., 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Skinner et al., 2005;IUCN, 2020","IUCN, 2020",,"Skinner et al., 2005;Hoff, 1985;Lotrich, 1975","Kneib & Stiven, 1978;Froese & Pauly, 2000"
Fundulus,notatus,"NatureServe, 2020","NatureServe, 2020","Alldredge et al., 2011","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","NatureServe, 2020","IUCN, 2020",,"Skinner et al., 2005","Mandrak & Holm, 2001"
Gobiesox,strumosus,"Runyan, 1961",,"Runyan, 1961","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Saksena & Joseph, 1972",,,
Bathygobius,fuscus,"Kong & Chen, 2013",,"Taru et al., 2002","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","M. Y. Chang et al., 2006",,"Taru et al., 2002","Takegaki et al., 2012"
Bathygobius,ramosus,,,,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,,,
Gobiosoma,chiquita,"Stahl, 1975",,"Clobert et al., 1998","Froese & Pauly, 2000",,,,"Stahl, 1975",,,
