genus_species,is.nocturnal,is.nocturnal_source
Anolis roquet,N,https://doi.org/10.1093/sysbio/syx029
Anolis cybotes,N,http://www.anapsid.org/anole.html
Anolis armouri,N,https://lososlab.oeb.harvard.edu/files/lososlab/files/newsletter_v.pdf
Calathus melanocephalus,Y,https://www.ukbeetles.co.uk/calathus-melanocephalus
Orchesella cincta,Y,https://doi.org/10.1007/BF00407477
Myrmecocystus depilis,N,DOI: 10.2307/2425641
Ceratitis capitata,N,https://animaldiversity.org/accounts/Ceratitis_capitata/
Drosophila melanogaster,N,https://doi.org/10.1101/380733
Palirhoeus eatoni,N,https://www.jstor.org/stable/4008914
Takydromus hsuehshanensis,N,https://doi.org/10.2108/zsj.30.15
Glossina pallidipes,N,http://www.fao.org/3/p5444e/P5444E02.htm
Lampropholis coggeri,N,https://doi.org/10.1111/1365-2435.12609
Temnothorax curvispinosus,Y,https://bugguide.net/node/view/382030
Plethodon glutinosus,N,AmphiBIO
Eurycea bislineata,N,AmphiBIO
Eurycea longicauda,Y,AmphiBIO
Eurycea lucifuga,N,AmphiBIO
Ambystoma tigrinum,N,AmphiBIO
Litoria ewingii,N,AmphiBIO
Ambystoma maculatum,N,AmphiBIO
Eleutherodactylus coqui,Y,AmphiBIO
Anaxyrus americanus,Y,AmphiBIO
Anaxyrus woodhousii,N,AmphiBIO
Desmognathus fuscus,N,AmphiBIO
Desmognathus ochrophaeus,N,AmphiBIO
Desmognathus quadramaculatus,N,AmphiBIO
Eleutherodactylus portoricensis,N,AmphiBIO
Lithobates pipiens,N,AmphiBIO
Lithobates sylvaticus,N,AmphiBIO
Litoria peronii,Y,AmphiBIO
Neobatrachus pictus,N,AmphiBIO
Odontophrynus occidentalis,N,AmphiBIO
Pseudacris triseriata,N,AmphiBIO
Plethodon cinereus,N,AmphiBIO
Plethodon jordani,Y,AmphiBIO
Pseudacris crucifer,Y,AmphiBIO
Pseudophryne bibronii,Y,AmphiBIO
Rhinella granulosa,Y,AmphiBIO
Rhinella marina,Y,AmphiBIO
Spea hammondii,Y,AmphiBIO
Ambystoma jeffersonianum,N,AmphiBIO
Ascaphus truei,Y,AmphiBIO
Crinia parinsignifera,N,AmphiBIO
Crinia signifera,Y,AmphiBIO
Geocrinia victoriana,N,AmphiBIO
Hyperolius viridiflavus,Y,AmphiBIO
Limnodynastes dorsalis,N,AmphiBIO
Limnodynastes peronii,Y,AmphiBIO
Limnodynastes salmini,N,AmphiBIO
Limnodynastes tasmaniensis,N,AmphiBIO
Litoria bicolor,N,AmphiBIO
Litoria fallax,Y,AmphiBIO
Litoria freycineti,N,AmphiBIO
Litoria rothii,N,AmphiBIO
Litoria rubella,N,AmphiBIO
Litoria verreauxii,Y,AmphiBIO
Mixophyes fasciolatus,N,AmphiBIO
Notophthalmus viridescens,N,AmphiBIO
Ranoidea brevipes,N,AmphiBIO
Ranoidea chloris,Y,AmphiBIO
Ranoidea lesueurii,Y,AmphiBIO
Ranoidea phyllochroa,N,AmphiBIO
Necturus maculosus,Y,AmphiBIO
Rhinella spinulosa,N,AmphiBIO
Buergeria japonica,N,AmphiBIO
Anaxyrus boreas,N,AmphiBIO
Anaxyrus cognatus,N,AmphiBIO
Pseudacris regilla,Y,AmphiBIO
Acris crepitans,Y,AmphiBIO
Ambystoma macrodactylum,N,AmphiBIO
Lithobates berlandieri,N,AmphiBIO
Lithobates clamitans,Y,AmphiBIO
Ranoidea aurea,Y,AmphiBIO
Lithobates catesbeiana,Y,http://issg.org/database/species/ecology.asp?si=80&fr=1&sts=&%20ang=EN&ver=print&prtflag=false
Dryophytes versicolor,Y,AmphiBIO
Ranoidea caerulea,N,AmphiBIO
Ranoidea gracilenta,N,AmphiBIO
