no_acclimation,genus,species,phylum,class,order,family,life_stage,season_inactive,logic_source_for_season_inactive,season_when_away (migratory only),logic_source_season_when_away,maturity_sex,age_maturity_days,maturity_days_reference,maturity_days2,maturity_days2_reference,lifespan_days,lifespan_days_reference,data_gatherer,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,Home range size_Km2,logic-source_for_Home range size,migratory,source_logic_for_migration_info,,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,,,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
no,Rattus,fuscipes,Chordata,Mammalia,Rodentia,Muridae,adult,,,,,female,107,AnAge,,,395,"Weaned animals (weaning takes 30 days) live about one year, but there is a field record of 3.8 years and a laboratory record of 5.3 years - Taylor and Calaby (1988) Mamm Species, 298:1-9",Joanne/Alex,0-1,"200 m - PEAKALL, et al Evolution, 57(5), 2003,",,,,,non-migratory,"not mentioned - walking, small",,Terrestrial,Animalia,15.925,pantheria05 doi: 10.1890/08-1494.1,omnivore,pantheria05 doi: 10.1890/08-1494.1,,,walking,non-flying terrestrial mammal,N,"McNab, 2008",N,"McNab, 2008",non-highland specialist,NA,"McNab, 2008",NA,Rattus,fuscipes,1,NA,NA,NA,NA,Raftus fuscipes; Rattus assimilis; Rattus assimilis =Rattus fuscipes   ; Rattus brazenori; Rattus coracius; Rattus fuscipes; Rattus glauerti; Rattus greyii; Rattus manicatus; Rattus mondraineus; Rattus murrayi; Rattus peccatus; Rattus pelori; Rattus ravus,"45,673,012,971,822,200,000,000,000,000,000,000,000",Rattus fuscipes,NA,NA
no,Desmognathus,monticola,Chordata,Amphibia,Caudata,NA,Adult,,,,,female,1642,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Desmarestia,viridis,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Desmarestia,aculeata,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Desmarestia,herbacea,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Desmarestia,willii,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,gametophyte,,,,,,NA,,,,,,ALH,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Dictyosiphon,foeniculaceus,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,none,its an annual and transition from gametophyte to sporophyte seems rapid. http://www.seaweedsofalaska.com/species.asp?SeaweedID=233. https://hmr.biomedcentral.com/track/pdf/10.1007/BF01987412. bu it can also reproduce clonally.  ,NA,,NA,10,were able to go from spores to microthallii in experiment ,,,180,say 6 months or less?  given annual life cycle,ALH,<1km,"female gametes settled within 1 h after release, while males remained motel for several hours'. not a long time to be moved.",,,1,sedentary algae,non-migratory,its an algae,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Dictyosiphon,hirsutus,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,summer,in falkland islands at least the species (sporophte) occurs as a summer annual. assume that gametophytes show opposite pattern  10.1080/00071619200650181,NA,,NA,10,"were able to go from spores to microthallii in experiment and do gametophyte-crosses, dont mention that it took a long time. seems like under lab conidtions must happen quickly",,,180,say 6 months or less?  given annual life cycle,ALH,<1km,"female gametes settled within 1 h after release, while males remained motel for several hours'. not a long time to be moved.",,,1,sedentary algae,non-migratory,its an algae,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Dumontia,contorta,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,microthalli,none,"species=complicated with 3 structurally different 'portions': 1) crustose stage (basal disc) = microthallus, 2) juvenille erect thallus, 3) mature thallus. + the gemotpphyte which they dont talk about doi 10.1111/j.0022-3646.1984.00336. 'erect gametophytic macrothallii araise from crustose microthallii in Oct-Nov, reproductive structures not seen until Apr/May. AFter spores releases macrothallus appears to decay such that none are left in Sept, although some basal remnants were frequently observed (can species regrow from these? doesnt say). 'microthallus collected year round, suggesting it acts as a perennial even though the macrothallus acts as an annual. (pg 344)",NA,,NA,unk,dont track individual microthalli,,,>360,know its perennial but not how long it lives,ALH,1-10km,microthallii doesnt disperse at all but spores must,,,1,sedentary algae,non-migratory,its an algae,,NA,NA,<1 to 1.5,"microthallus. 10.1111/j.0022-3646.1984.00336
",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no,Haplogloia,andersonii,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,gametophyte,summer,"annual sporophytes appearing in the spring and summer, becoming fertile sooner in the south than in the north . So assume that gametophytes are produced mid summer and last until spring. http://ucjeps.berkeley.edu/guide/brown42.html",NA,,NA,30,"presumably spores have to fertilize eachother (ie produce gametophyte)  in summer and overwinters as gametophyte, ",,,240,"""it is a spring annual..."" guessing gametpphytes produced in summer and last until spring",ALH,1-10km,total guess - has micro sporophyte cells that float around for some distance before and after fertilization,,,,,NA,NA,,NA,NA,<1,gametophyte = microscopic,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
