Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abra tenuis,,,,,,http://species-identification.org/species.php?species_group=mollusca&id=517,Reported in the North Sea as far north as Northumberland and the German Bight (Distr. A. tenuis). Distributed south to the Mediterranean and north-west Africa.,much of range missing; non-contiguous,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf saxatilis,,,,,Fishbase,http://www.fishbase.org,Atlantic only. / Atlantic Ocean: Canada (Ref. 5951) to Rhode Island; USA to Uruguay in the western Atlantic; abundant on Caribbean reefs; around islands of the mid-Atlantic; Cape Verde; and along the tropical coast of western Africa south to Angola. This species is strictly an Atlantic species. It is replaced in the Indo-Pacific region by the closely related Abudefduf vaigiensis (G. Allen; pers. comm.).,"many misidentifications, should be in Atlantic only.  W side of atlantic (ie eastern N.Am) well sampled but missing southern extent (uruguay). E side (ie W Africa) v poorly sampled.",remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthodactylus erythrurus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=61456,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acar domingensis,,,,,WoRMS,,Gulf of Mexico,points on east,excl.points,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acontias meleagris,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=44960134,lots range missing,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acris crepitans,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55286,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamussium colbecki,,,,,doi:10.1016/j.dsr2.2006.02.004,,circum-Antarctic species,,fine,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,NA,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelotus brevis,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=520,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,NA,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agabus brunneus,,,,,Hidalgo-Galiana et al. 2014. http://www.biomedcentral.com/1471-2148/14/187,,"Hidalgo: (also see range map in paper) Agabus brunneus has a wide distribution through North Africa and western Europe, including the Iberian and Italian peninsulas, some Mediterranean islands (Elba, Sicily) and France, with isolated populations in southern England ([16]; Figure 1). Some old, isolated records in the eastern Mediterranean (Greece, Syria) with all probability refer to other species ",,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agabus didymus,,,,,ask Piero / DOI: 10.1111/j.1365-2699.2007.01787.x,,from Central Morocco to Scotland (West European),missing france & central morrocco,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agabus ramblae,,,,,Hidalgo-Galiana et al. 2014. http://www.biomedcentral.com/1471-2148/14/187,, from Central Morocco to North-Central Spain,"Morrocan range sparesly sampled but overall looks good, matches description",fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agabus rufulus,,NO GBIF,,,NA,,,NO GBIF,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agkistrodon contortrix,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64297,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agosia chrysogaster,,,Y,,Fishbase,,North America: lower Colorado River drainage (primarily Gila and Bill William River systems) in New Mexico and Arizona; USA and south through southern Arizona and Pacific drainages of western Mexico.,points ouside descr. Range,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agroeca proxima,,,,,SRS British Spiders,,The species is widely distributed throughout Britain. It is fairly widespread in north-western and central Europe as far north as Sweden.,excl <46lat - not central europe,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcolapia grahami,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=60453,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alosa pseudoharengus,,,,,Fishbase,,North America: Atlantic coast from the Gulf of St. Lawrence and Nova Scotia to North Carolina and in streams and rivers; also occurs in Lake Seneca and Cayuga; introduced into Lake Ontario; now landlocked there and in Lakes Erie; Huron; Michigan and Superior.,introduced to many places,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyopone pallipes,,,,,Mississipps entomological museum ,http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Amblyopone.pallipes.html,"Ont., Que, south to FL, west to WI, IA, OK, CO, TX, AZ (Smith, D. R., 1979); found in all of the southeastern states including AL, AR, FL, GA, LA, MO, MS, NC, SC, TN.","missing northern range (ON, QC)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambystoma jeffersonianum,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59059,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambystoma macrodactylum,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59063,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambystoma maculatum,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59064,some extra points and parts of range missing,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiurus melas,,,,,Fishbase,,North America: Great Lakes to northern Mexico. Confusion over the taxonomic status of this species together with Ameiurus nebulosus resulted in more doubts as to which of the two is present in some countries. In Europe it forms dense stunted populations which makes it unpopular. Several countries report adverse ecological impact after introduction (Ref. 1739). In Europe; self-sustaining populations recorded from Ebro and Tagus drainages (Iberian Peninsula); most drainages of France; locally in Italy; the Netherlands and Germany; distribution coud be wider (Ref. 59043),introduced to europe,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiurus natalis,,,,,Fishbase,,North America: Atlantic and Gulf slope drainages from New York to northern Mexico; and St. Lawrence-Great Lakes and Mississippi river basins from southern Quebec west to central North Dakota; and south to the Gulf. At least one country reports adverse ecological impact after introduction.,native to N America,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
