population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
278,1,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0204974916807537,0.0166648673148311,0.0166648673148302,0.0166648673148302,0.0166648673148311,0.0166648673148302,0.0166648673148302,0.0166648673148311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8106,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.71240677586661,0.570535251423012,0.30114624963247,-0.0250200241862231,-0.319012989423576,-0.51125194849795,-0.562827774152814,-0.471476176753466,-0.282194560364656,-0.0836452352176749,0.0340641587356241,-1,-1,-1,-1,-1,-1,-1
8235,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0816693627307192,0.0729209725513611,0.0504411126198314,0.0134772247362285,-0.0304667585441702,-0.0691672888592034,-0.0936455361039252,-0.103434355697204,-0.104627684367876,-0.103627613440649,-0.103140006853172,-1,-1,-1,-1,-1,-1,-1
3374,1,-0.0247010806267627,-0.0247010806273315,-0.0247010806277017,-0.024701080627871,-0.0247010806278941,-0.0247010806278711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4066,1,-1,-1,-1,-0.0294409380424785,-0.0291568837632512,-0.0288619474553449,-0.0287178265651924,-0.0284984443836171,-0.0279674336687301,-0.0272692796594705,-0.0266807285396362,-0.0262055306883138,-0.0257743684905221,-0.0257281922973893,-0.0266676502062577,-0.0287444622323665,-0.0314698297938432,-0.0344015250544948,-0.0376793073562623,-0.0415310441809769,-0.045422975318979,-0.0481305656587583,-0.0487439418477923,-0.047365154900229,-0.0447553576819437,-0.041560857866171,-0.0380401916534794,-0.0343095602432903,-0.0305321781200636,-0.0268615843250102,-0.0234114709600041,-0.0203466473886483,-0.0178799714639417,-0.0161283841918031,-0.015066826405519,-0.0146514097497038,-0.0148554227463416,-0.01550107070327,-0.0161851556796916,-0.0165470993161354,-0.0165962482935301,-0.0166324141088254,-0.0168260208351894,-0.017024874777252
5988,1,-0.0109391208220663,-0.00924724980808911,-0.00815011904881546,-0.00837247472512925,-0.00970079909360733,-0.0108769172042384,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5989,1,-0.0452228704302935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12568,1,0.0296625359485242,0.0292968602316784,0.0281452160237893,0.0265432016086618,0.0243995278885009,0.0215989681484036,0.0183975628075758,0.0153368942965152,0.012842272834053,0.0110111586302003,0.00976374176701639,0.00905509357153553,0.00886938358663422,0.0091006880939436,0.00956981513514032,0.0101677756485418,0.0109027292416185,0.0117871584202277,0.0127585141409782,0.013760927470266,0.014829643597756,0.0159811274445132,0.0170253597839821,0.0176311281869064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5965,1,0.0237458875663989,0.0237458875652106,0.0237458875640044,0.0237458875629333,0.0237458875620042,0.0237458875612111,0.0237458875605912,0.0237458875602021,0.0237458875600369,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12551,1,0.109641384334893,0.0691092351251106,0.0361973623346943,0.0189621070883783,0.0115260156954147,0.00884162366277597,0.0108167660975447,0.0129198332481879,0.00602222087994786,-0.00795725650343293,-0.0105379181298204,0.0118009667814203,0.0454223250313905,0.0617697231574246,0.0518736437646394,0.0357468376369008,0.0330879702940878,0.0378459505692215,0.0330743341958906,0.021530644302902,0.0236146891118132,0.0447098719486636,0.0624573867677958,0.0560966616376328,0.0362277622550691,0.0304107321968923,0.0436783810700687,0.0498935434447727,0.0266005436261816,-0.0139546859448139,-0.0376914016649925,-0.0262718565784716,0.00709087293329436,0.0358036811847136,0.0439918906237144,0.032521084761612,0.0114876367856356,-0.0071244223639999,-0.0144442869584207,-0.00958684019971834,0.000155263358065483,0.00680626677598006,0.00878248061004516,-1
12239,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.668107124594214,0.668107124594214,0.668107124594215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12902,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.029582806664612,0.029582806664612,0.029582806664612,0.0295828066646129,0.029582806664612,0.0657857476461965,0.0657857476461965,0.0657857476461956,0.0657857476461965,0.0657857476461965,-0.0228778594271102,-0.0228778594271093,-0.0228778594271102,-0.0228778594271102,-0.0228778594271093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13084,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.315270434778591,0.477121254719662,-0.0792391689498254,-0.0792391689498253,-0.0792391689498254,-0.0792391689498255,-0.0792391689498253,-0.0792391689498253,-0.0792391689498254,-0.0792391689498254,-0.0792391689498254,-0.0792391689498254,0.315270434778591,-1,-1,-1,-1,-1,-1,-1,-1,-1
13085,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.1627272974977,1.25963731050576,-0.0376750709602101,-0.0376750709602098,-0.0376750709602101,-0.0376750709602101,-0.0376750709602098,-0.0376750709602101,-0.0376750709602098,-0.0376750709602099,-0.0376750709602099,-0.0376750709602099,0.498966587874926,-1,-1,-1,-1,-1,-1,-1,-1,-1
13087,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2.00432137378264,-1,-1,-1,-1,-1,-1,-1,-1,-1
13088,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.64204033546293,0,0,0,0,0,0,0,0,0,0,0,2.19904958086447,-1,-1,-1,-1,-1,-1,-1,-1,-1
13091,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.048304679574555,0,-0.057978359661681,-0.0579783596616811,-0.057978359661681,-0.057978359661681,-0.0579783596616811,-0.057978359661681,-0.057978359661681,-0.0579783596616811,-0.057978359661681,-0.057978359661681,0.612783856719735,-1,-1,-1,-1,-1,-1,-1,-1,-1
13092,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.172286530096916,0.19633567341276,-1,-1,-1,-1,-1,-1,-1,-1,-1
13094,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0108351279744735,-0.0108351279744736,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744735,-0.0108351279744736,0.729846570809089,-1,-1,-1,-1,-1,-1,-1,-1,-1
17844,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0652533875924579,0.0590631895423277,0.0484428449989984,0.037782274236883,0.0310418826151322,0.0289615925505116,0.0292021568773029,0.0289389340827553,0.026949263727575,0.0229035542386153,0.0154714641992983,0.00301268495569573,-0.0127516166950024,-0.0248996538835806,-0.0256083376111,-0.0136694811361799,0.00307386536491006,0.0142879730455272,0.0164012505325823,0.0144064459758324,-1
