ID,min_year,max_year
278,1950,1994
297,1959,1996
2871,1966,2011
2880,1966,2011
2881,1966,2011
2884,1966,2011
2907,1966,2011
2908,1967,2011
2909,1966,2011
2911,1966,2011
2912,1967,2011
2913,1966,2011
2914,1966,2011
2915,1967,2011
2916,1966,2011
2917,1967,2011
2918,1967,2011
2919,1966,2011
2920,1966,2011
2921,1968,2007
2922,1966,2011
2923,1966,2011
2924,1966,2011
2925,1968,2011
2926,1968,2011
2927,1966,2011
2928,1966,2011
2929,1966,2011
2930,1968,2011
2931,1967,2011
2932,1968,2011
2933,1967,2011
2934,1966,2011
2941,1966,2011
2942,1968,2011
2948,1966,2011
2949,1967,2011
2954,1966,2011
2968,1966,2011
2969,1968,2011
2970,1966,2011
2971,1966,2011
2972,1967,2011
2973,1966,2011
2974,1966,2011
2975,1966,2011
2976,1967,2011
2977,1966,2011
2978,1966,2011
2979,1966,2011
2980,1967,2011
2981,1967,2011
2982,1966,2011
2983,1967,2011
2984,1966,2011
2985,1966,2011
2986,1968,2011
2987,1966,2011
2988,1968,2011
2989,1967,2011
2990,1966,2011
2991,1967,2011
2992,1968,2011
2993,1968,2011
2994,1968,2011
2995,1968,2011
2996,1968,2011
2997,1968,2011
2999,1967,2011
3000,1966,2011
3001,1968,2011
3002,1968,2011
3003,1967,2011
3004,1966,2011
3005,1968,2011
3006,1967,2011
3007,1968,2011
3008,1966,2011
3009,1966,2011
3010,1966,2011
3011,1968,2011
3012,1966,2011
3013,1966,2011
3014,1967,2011
3015,1966,2011
3016,1966,2011
3017,1966,2011
3018,1966,2011
3019,1968,2011
3020,1968,2011
3021,1967,2011
3022,1967,2011
3023,1966,2011
3024,1967,2011
3025,1967,2011
3026,1967,2011
3027,1966,2011
3028,1967,2011
3029,1967,2011
3030,1967,2011
3031,1966,2011
3032,1966,2011
3033,1967,2011
3034,1966,2011
3035,1966,2011
3036,1966,2011
3037,1967,2011
3038,1966,2011
3039,1967,2011
3040,1968,2011
3041,1966,2011
3042,1968,2011
3043,1966,2011
3044,1966,2011
3045,1966,2011
3046,1966,2011
3047,1968,2011
3048,1966,2011
3049,1967,2011
3050,1967,2011
3051,1967,2011
3052,1968,2011
3053,1967,2011
3054,1968,2011
3055,1966,2011
3056,1968,2011
3057,1966,2011
3058,1967,2011
3059,1966,2011
3060,1966,2011
3061,1966,2011
3062,1966,2011
3063,1967,2011
3064,1966,2011
3065,1966,2011
3066,1966,2011
3067,1967,2011
3068,1966,2011
3069,1966,2011
3070,1966,2011
3071,1968,2011
3072,1968,2011
3073,1966,2011
3074,1968,2011
3075,1968,2011
3076,1966,2005
3077,1967,2011
3078,1967,2011
3079,1966,2011
3080,1966,2011
3081,1968,2011
3082,1966,2011
3083,1966,2011
3084,1967,2011
3085,1967,2011
3086,1967,2011
3087,1966,2011
3088,1966,2011
3089,1966,2011
3090,1966,2011
3091,1966,2011
3094,1966,2011
3095,1966,2011
3096,1966,2011
3097,1967,2011
3098,1966,2011
3099,1967,2011
3100,1967,2011
3101,1967,2011
3102,1966,2011
3103,1966,2011
3104,1966,2011
3105,1966,2011
3106,1966,2011
3107,1968,2011
3108,1968,2011
3109,1966,2011
3110,1966,2011
3111,1968,2011
3112,1966,2011
3113,1967,2011
3114,1968,2011
3115,1967,2011
3116,1968,2011
3117,1967,2011
3118,1968,2011
3119,1966,2011
3120,1967,2011
3121,1966,2011
3122,1967,2011
3123,1966,2011
3124,1966,2011
3125,1966,2011
3126,1967,2011
3127,1966,2011
3128,1968,2011
3129,1968,2011
3130,1966,2011
3131,1966,2011
3132,1966,2011
3133,1966,2011
3134,1966,2011
3135,1966,2011
3136,1966,2011
3137,1968,2011
3138,1966,2011
3139,1968,2011
3140,1968,2011
3141,1966,2011
3142,1966,2011
3143,1968,2011
3144,1966,2011
3145,1966,2011
3146,1966,2011
3147,1966,2011
3148,1966,2011
3149,1966,2011
3150,1966,2011
3151,1966,2011
3152,1966,2011
3153,1966,2011
3154,1966,2011
3155,1966,2011
3156,1966,2011
3157,1966,2011
3158,1966,2011
3159,1966,2011
3160,1966,2011
3161,1967,2011
3162,1966,2011
