ID,min_year,max_year
3163,1966,2011
3164,1966,2011
3165,1966,2011
3166,1966,2011
3167,1967,2011
3168,1966,2011
3169,1966,2011
3170,1967,2011
3171,1967,2011
3172,1968,2011
3173,1967,2011
3174,1966,2011
3175,1967,2011
3176,1968,2011
3177,1968,2011
3178,1967,2011
3179,1966,2011
3180,1967,2011
3181,1966,2011
3182,1966,2011
3183,1967,2011
3184,1966,2011
3185,1968,2011
3186,1966,2011
3187,1966,2011
3188,1967,2011
3189,1968,2011
3190,1967,2011
3191,1966,2011
3192,1966,2011
3193,1967,2011
3194,1966,2011
3195,1966,2011
3197,1966,2011
3198,1966,2011
3199,1966,2011
3200,1966,2011
3201,1966,2011
3202,1966,2011
3203,1967,2011
3204,1966,2011
3205,1968,2011
3206,1967,2011
3207,1966,2011
3208,1967,2011
3209,1966,2011
3210,1967,2011
3211,1966,2011
3212,1967,2011
3213,1966,2011
3214,1966,2011
3215,1966,2011
3216,1966,2011
3217,1966,2011
3218,1968,2007
3219,1966,2011
3220,1966,2011
3221,1966,2011
3222,1966,2011
3223,1966,2011
3224,1966,2011
3225,1966,2011
3226,1967,2011
3227,1967,2011
3228,1966,2011
3229,1966,2011
3230,1967,2011
3231,1966,2011
3232,1967,2011
3233,1967,2011
3234,1966,2011
3235,1966,2011
3236,1967,2011
3237,1966,2011
3238,1966,2011
3239,1966,2011
3240,1966,2011
3241,1967,2011
3242,1968,2011
3243,1966,2011
3244,1966,2011
3245,1966,2011
3246,1966,2011
3254,1965,1993
3255,1979,1993
3260,1964,1993
3264,1975,1993
3265,1953,1993
3270,1952,1985
3280,1972,2014
3295,1970,2014
3307,1951,2005
3328,1982,1993
3358,1970,2014
3369,1970,2014
3374,1950,1976
3396,1967,1993
3680,1970,2014
3682,1970,2014
3859,1970,2014
3860,1970,2014
3866,1970,2014
3993,1970,2014
3994,1970,2014
4024,1970,2014
4066,1973,2014
4307,1991,2000
4308,1965,2000
4309,1970,2000
4310,1970,2000
4311,1990,2000
4312,1990,2000
4313,1990,2000
4314,1990,2000
4960,1992,1997
4961,1992,1997
5965,1964,1979
5988,1950,1976
5989,1955,1971
6005,1951,1985
6006,1951,1985
6007,1959,1985
6390,1987,1996
6391,1990,1996
6392,1993,1996
6393,1990,1992
8055,1988,1991
8056,1988,1991
8057,1988,1991
8068,1973,2005
8075,1981,1991
8089,1981,1991
8091,1988,2007
8092,1988,2007
8096,1988,2007
8097,1988,2007
8098,1988,2007
8099,1988,2007
8100,1988,2007
8102,1988,2007
8106,1996,2007
8118,1996,2007
8218,1993,2007
8232,2006,2007
8235,1996,2007
8237,1996,2008
8239,1996,2008
8240,1996,2008
8241,1996,2008
8242,1996,2008
8243,1996,2008
8246,1996,2008
8247,1996,2008
8248,1996,2008
8249,1996,2008
8543,1966,2007
8544,1968,2007
8545,1968,2007
8709,1987,1988
9060,1975,2005
9465,1995,1998
9466,1995,1998
9468,1985,2009
9471,1985,2009
9478,1994,2009
9479,1994,2009
12049,1996,2000
12053,2000,2011
12062,1993,1995
12066,1998,1999
12067,1968,1970
12078,1968,1970
12177,1995,2002
12237,1983,1986
12239,1983,1986
12240,1983,1986
12241,1983,1986
12246,1983,1986
12250,1983,1986
12251,1983,1986
12252,1992,1994
12258,1999,2000
12261,1999,2000
12272,1983,1986
12273,1983,1986
12274,1983,1986
12275,1983,1986
12276,1983,1986
12328,1980,1992
12331,1987,1994
12333,1989,1994
12334,1988,1994
12379,1969,2010
12380,1979,2012
12549,1972,2010
12550,1961,2013
12551,1965,2013
12568,1950,1994
12615,1992,1994
12902,1983,1998
12958,1992,2005
12961,1992,2005
12963,1992,2005
12964,1992,2005
12969,1992,2005
12972,1993,2005
12973,1992,2005
12974,1993,2005
12989,1984,2000
12991,1992,2005
12998,1992,2005
13000,1984,2000
13002,1992,2005
13003,1992,2005
13004,1992,2005
13005,1992,2005
13006,1992,2005
13007,1992,2005
13008,1992,2005
13009,1992,2005
13010,1992,2005
13011,1992,2005
13012,1992,2005
13013,1993,2005
13014,1993,2005
13015,1993,2005
13016,1993,2005
13026,1992,2005
13027,1992,2005
13029,1992,2005
13031,1992,2005
13034,1992,2005
13037,1992,2005
13042,1993,2005
13045,1993,2005
13066,1992,2005
13070,1992,2005
13071,1992,2005
13076,1992,2005
13077,1992,2005
13080,1993,2005
13081,1992,2005
13082,1993,2005
13083,1992,2005
13084,1992,2005
13085,1992,2005
13086,1992,2005
13087,1992,2005
13088,1992,2005
13089,1992,2005
13091,1992,2005
13092,1993,2005
13093,1992,2005
13094,1993,2005
13095,1993,2005
13096,1993,2005
13133,2001,2002
13134,1992,2005
13137,2001,2002
13139,2001,2002
13145,1992,2005
13146,1992,2005
13148,1992,2005
13149,1993,2005
13150,1993,2005
13154,1992,2005
13155,1992,2005
13156,1992,2005
13157,1992,2005
13159,1992,2005
13160,1992,2005
13161,1993,2005
13162,1993,2005
13166,1992,2005
13168,1992,2005
13169,1992,2005
13171,1992,2005
13172,1992,2005
13173,1993,2005
13174,1993,2005
13175,1992,2005
13176,1992,2005
13177,1992,2005
13180,1992,2005
13182,1993,2005
13183,1993,2005
13360,1994,1995
13364,1994,1995
13394,1994,1995
13412,1992,1993
13513,1970,2014
13514,1970,2014
13515,1970,2014
14545,1970,2014
14546,1970,2014
14550,1970,2014
14552,1970,2014
14859,1988,2001
14860,1988,2003
17788,2000,2013
17824,1991,2014
17825,1991,2014
17843,1993,2013
17844,1993,2013
17894,1994,2004
17895,1975,2004
17899,1994,2005
18054,1973,2014
18056,1970,2014
18092,2000,2014
18093,2004,2014
