Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description
Hyla,rothi,31.9,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rothi,34.5,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rothi,39.4,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rothi,40.1,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,35.9,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,37.6,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,39.5,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,40.6,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,35.7,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,37.3,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,38.7,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,39.4,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,35.8,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,37.6,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,39.3,tmax,NA,NA,critical,Loss_righting_reflex
Hyla,rubella,40.8,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Hyla,rubella,41.6,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,dorsalis,32.1,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,dorsalis,36.5,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,dorsalis,36.9,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,dorsalis,33.2,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,dorsalis,35,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,dorsalis,37,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,peroni,32.7,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,peroni,34.3,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,peroni,30.6,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,peroni,34.1,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,peroni,36.3,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,tasmaniensis,29.8,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,tasmaniensis,33.9,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,tasmaniensis,33.4,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,tasmaniensis,35,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,tasmaniensis,34,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,tasmaniensis,35.1,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Limnodynastes,tasmaniensis,34.9,tmax,NA,NA,critical,Loss_righting_reflex
Limnodynastes,tasmaniensis,36.6,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Cyclorana,brevipes,40,tmax,NA,NA,critical,Loss_righting_reflex
Cyclorana,brevipes,40.5,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Cyclorana,brevipes,31.7,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,34.8,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,35.4,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Pseudophryne,bibroni,30.5,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,33.9,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Pseudophryne,bibroni,36.2,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,38.2,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Pseudophryne,bibroni,32.4,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,35.2,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Pseudophryne,bibroni,33.7,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,35.6,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Pseudophryne,bibroni,35,tmax,NA,NA,critical,Loss_righting_reflex
Pseudophryne,bibroni,37.2,tmax,NA,NA,critical,Onset_of_spasms_(OS)
Lanius,collaris,NA,NA,NA,NA,NA,NA
Spalacopus,cyanus,NA,NA,NA,NA,NA,NA
Acomys,Russatus,NA,NA,NA,NA,NA,NA
Tamias,minimus,NA,NA,NA,NA,NA,NA
Cyclopes,didactylus,NA,NA,NA,NA,NA,NA
Zoarces,viviparus,25.7,tmax,1.2,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,27.1,tmax,1,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,27.2,tmax,0.5,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,27.4,tmax,0.5,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,27,tmax,0.9,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,28,tmax,1,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,29.1,tmax,0.6,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,28.8,tmax,0.9,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,28.8,tmax,0.8,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,28.6,tmax,1.1,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,27.1,tmax,0.9,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,26.4,tmax,0.2,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,25.4,tmax,0.8,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,26.3,tmax,1.5,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,27.5,tmax,0.6,SD,critical,Loss_of_equilibrium_(LE)
Zoarces,viviparus,29.1,tmax,0.2,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,28.8,tmax,1.1,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,284,tmax,1.1,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,28.5,tmax,1.4,SD,critical,Onset_of_spasms_(OS)
Zoarces,viviparus,29.1,tmax,0.5,SD,critical,Onset_of_spasms_(OS)
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality
Dumontia,contorta,26,tmax,NA,NA,lethal,Temperature_at_100%_mortality
Dipsosaurus,dorsalis,47.5,tmax,NA,NA,critical,Loss_righting_reflex
Dipsosaurus,dorsalis,47,tmax,NA,NA,critical,Loss_righting_reflex
Dipsosaurus,dorsalis,13.8,tmin,1.2,SD,critical,Loss_righting_reflex
Dipsosaurus,dorsalis,14.2,tmin,1,SD,critical,Loss_righting_reflex
Desmarestia,aculeata,22.4,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,aculeata,21.8,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,aculeata,22.6,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,aculeata,24.5,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,viridis,26.4,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,viridis,26.4,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,viridis,26.7,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,viridis,27.2,tmax,NA,NA,lethal,Temperature_at_50%_survival
Desmarestia,viridis,27.4,tmax,NA,NA,lethal,Temperature_at_50%_survival
NA,NA,NA,NA,NA,NA,NA,NA
