genus_species,realm_general2,lat_lon_1,lat_lon_2,elev_1,elev_2,mean_yearly_max_temp1,mean_yearly_max_temp2,distance,temp_difference,distance_km
Abudefduf saxatilis,Marine,9.66_-79.34,31.29_-113.54,NA,NA,29.892250013351436,31.265750026702886,4272437.975250368,1.3735000133514497,4272.437975250368
Acipenser brevirostrum,Freshwater,45.3_-66.13,32.89_-84.67,NA,NA,12.955557892534726,22.702720714192708,2105989.7251164764,9.747162821657982,2105.9897251164766
Ambassis ambassis,Freshwater,-30.86_25.14,11.49_79.76,NA,NA,26.99641507942709,33.86478374565973,7498845.210895771,6.868368666232637,7498.845210895771
Ameiurus melas,Freshwater,42.08_-81.34,39.016739_-90.992256,NA,NA,24.373418013541674,25.3169316280816,884140.9833343073,0.9435136145399277,884.1409833343073
Ameiurus melas,Freshwater,42.08_-81.34,38.34_-90.37,NA,NA,24.373418013541674,24.120921897395842,872627.5093594419,0.25249611614583145,872.6275093594419
Ameiurus melas,Freshwater,39.016739_-90.992256,38.34_-90.37,NA,NA,25.3169316280816,24.120921897395842,92732.77524245593,1.196009730685759,92.73277524245593
Ameiurus natalis,Freshwater,42.08_-81.34,39.201_-92.177,NA,NA,24.373418013541674,26.065557520225703,969048.2767213709,1.692139506684029,969.0482767213708
Ameiurus natalis,Freshwater,42.08_-81.34,32.874_-110.809,NA,NA,24.373418013541674,29.64125680082466,2780525.5562303825,5.267838787282987,2780.5255562303823
Ameiurus natalis,Freshwater,39.201_-92.177,32.874_-110.809,NA,NA,26.065557520225703,29.64125680082466,1814658.3060004604,3.5756992805989576,1814.6583060004605
Anguilla australis,Freshwater,-37.27_174.87,-35.15_173.68,NA,NA,23.22911973697917,22.497705257595488,259066.5850575907,0.7314144793836839,259.0665850575907
Apogon dovii,Marine,2.97_7.18,2.99_-78.2,NA,NA,30.559999990463258,29.0767499923706,9488555.422224615,1.4832499980926563,9488.555422224616
Apogon dovii,Marine,2.97_7.18,7.33_-80.21,NA,NA,30.559999990463258,29.487249946594236,9688761.30011148,1.0727500438690214,9688.76130011148
Apogon dovii,Marine,2.99_-78.2,7.33_-80.21,NA,NA,29.0767499923706,29.487249946594236,532021.6227099553,0.41049995422363494,532.0216227099553
Bathygobius ramosus,Marine,2.97_7.18,7.33_-80.21,NA,NA,30.559999990463258,29.487249946594236,9688761.30011148,1.0727500438690214,9688.76130011148
Carpiodes cyprinus,Freshwater,39.97_-82.81,42.08_-81.34,NA,NA,20.407030702777778,24.373418013541674,265340.0432097076,3.9663873107638956,265.3400432097076
Catostomus clarkii,Freshwater,34.048927_-111.093735,32.874_-110.809,NA,NA,27.870063833463547,29.64125680082466,133438.36824716657,1.771192967361113,133.43836824716658
Catostomus commersonii,Freshwater,42.08_-81.34,39.279_-91.155,NA,NA,24.373418013541674,28.159693306250006,884666.7454888552,3.786275292708332,884.6667454888552
Catostomus commersonii,Freshwater,42.08_-81.34,46.78_-94.7,NA,NA,24.373418013541674,12.636439195572919,1181821.36355308,11.736978817968755,1181.8213635530801
Catostomus commersonii,Freshwater,42.08_-81.34,54.61_-124.91,NA,NA,24.373418013541674,21.300025193185768,3443370.7405713703,3.073392820355906,3443.3707405713703
Catostomus commersonii,Freshwater,42.08_-81.34,43.22_-86.35,NA,NA,24.373418013541674,24.349938614696182,429301.1531305821,0.023479398845491772,429.3011531305821
Catostomus commersonii,Freshwater,39.279_-91.155,46.78_-94.7,NA,NA,28.159693306250006,12.636439195572919,883183.0082320812,15.523254110677087,883.1830082320812
Catostomus commersonii,Freshwater,39.279_-91.155,54.61_-124.91,NA,NA,28.159693306250006,21.300025193185768,3035903.579532107,6.859668113064238,3035.903579532107
Catostomus commersonii,Freshwater,39.279_-91.155,43.22_-86.35,NA,NA,28.159693306250006,24.349938614696182,594930.9858619792,3.809754691553824,594.9309858619791
Catostomus commersonii,Freshwater,46.78_-94.7,54.61_-124.91,NA,NA,12.636439195572919,21.300025193185768,2279468.0164601053,8.663585997612849,2279.4680164601054
Catostomus commersonii,Freshwater,46.78_-94.7,43.22_-86.35,NA,NA,12.636439195572919,24.349938614696182,766886.3674768943,11.713499419123263,766.8863674768943
Catostomus commersonii,Freshwater,54.61_-124.91,43.22_-86.35,NA,NA,21.300025193185768,24.349938614696182,3043663.44439663,3.0499134215104142,3043.66344439663
Chrosomus erythrogaster,Freshwater,36.16_-105.2,38.189801_-91.908238,NA,NA,17.116659788142364,28.738795351779515,1199304.6216678875,11.622135563637151,1199.3046216678877
Coregonus artedi,Freshwater,42.41_-83.98,45.3_-94.11,NA,NA,23.570411589670137,20.976687484418406,873707.4192137535,2.593724105251731,873.7074192137535
Cottus bairdii,Freshwater,34.19_-84.95,42.6_-78.47,NA,NA,19.490390171527782,20.54786186527778,1092842.178479678,1.0574716937499993,1092.842178479678
Cottus carolinae,Freshwater,34.6_-84.7,40.03_-76.27,NA,NA,27.976243005859377,18.51101554956598,959630.1633420124,9.465227456293398,959.6301633420125
Couesius plumbeus,Freshwater,51.38_-121.26,59.4_-133.58,NA,NA,21.147195320138895,13.365948638671878,1181117.5391280137,7.781246681467017,1181.1175391280137
Couesius plumbeus,Freshwater,51.38_-121.26,59.43_-126.09,NA,NA,21.147195320138895,0.8796637573263955,946080.7955673549,20.2675315628125,946.0807955673549
