genus,species
Rana,catesbeiana
Bufo,marinus
Melanophryniscus,rubriventris
Bufo,americanus
Bufo,woodhousii
Rana,sylvatica
Hyla,regilla
Hyla,versicolor
Rhinella,azarai
Acris,crepitans
Desmognathus,quadramaculcatus
Diemictylus,viridescens
Ambystoma,jeffersonianum
Ascaphus,truei
Buergeria,japonica
Eleutherodactylus,portoricensis
Limnodynastes,peronii
Limnodynastes,salmini
Rana,berlandieri
Cyclorana,australis
Litoria,caerulea
Hyla,freycineti
Hyla,nasuta
Mixophyes,fasciolatus
Neobatrachus,pictus
Notophthalmus,viridescens
Hyla,crucifer
Necturus,maculosus
Bufo,cognatus
Desmognathus,ochrophaeus
Hyla,bicolor
Hyla,verreauxi
Scaphiopus,hammondi
Odontophrynus,occidentalis
Desmognathus,monticola
Plethodon,cinereus
Plethodon,jordani
Hyperolius,viridiflavus
Litoria,bicolor
Litoria,nasuta
Litoria,rothii
Litoria,rubella
Bufo,granulosus
Acipenser,brevirostrum
Ambassis,ambassis
Apogon,dovii
Apogon,pacificus
Lipophrys,pholis
Lipophrys,trigloides
Carpiodes,cyprinus
Catostomus,commersonii
Hypentelium,nigricans
Ambloplites,rupestris
Lepomis,cyanellus
Lepomis,gibbosus
Lepomis,macrochirus
Lepomis,megalotis
Micropterus,dolomieu
Micropterus,punctulatus
Micropterus,salmoides
Pomoxis,annularis
Pomoxis,nigromaculatus
Lates,calcarifer
Chaenocephalus,aceratus
Chionodraco,rastrospinosus
Gymnocharacinus,bergii
Etroplus,suratensis
Oreochromis,mossambicus
Cirrhitichthys,oxycephalus
Dorosoma,cepedianum
Sardinops,sagax
Cottus,bairdii
Cottus,carolinae
Cottus,gobio
Campostoma,anomalum
Carassius,auratus
Carassius,carassius
Chrosomus,erythrogaster
Couesius,plumbeus
Ctenopharyngodon,idella
Cyprinella,lutrensis
Cyprinella,spiloptera
Cyprinus,carpio
Danio,rerio
Gobio,gobio
Hybognathus,placitus
Hypophthalmichthys,nobilis
Labeo,rohita
Leuciscus,idus
Luxilus,chrysocephalus
Luxilus,cornutus
Notemigonus,crysoleucas
Notropis,atherinoides
Notropis,hudsonius
Notropis,rubellus
Notropis,stramineus
Pimephales,notatus
Pimephales,promelas
Rhinichthys,atratulus
Rhinichthys,osculus
Rutilus,rutilus
Scardinius,erythrophthalmus
Semotilus,atromaculatus
Siphateles,bicolor
Squalius,cephalus
Cyprinodon,bovinus
Cyprinodon,dearborni
Cyprinodon,nevadensis
Gobiomorphus,basalis
Gobiomorphus,cotidianus
Esox,lucius
Esox,masquinongy
Fundulus,diaphanus
Fundulus,heteroclitus
Fundulus,notatus
Culaea,inconstans
Gobiesox,strumosus
Bathygobius,fuscus
Bathygobius,ramosus
Bathygobius,soporator
Coryphopterus,urospilus
Gobiosoma,chiquita
Gobius,paganellus
Haemulon,flavolineatum
Ameiurus,catus
Ameiurus,melas
Ameiurus,natalis
Ameiurus,nebulosus
Ictalurus,punctatus
Kuhlia,sandvicensis
Halichoeres,dispilus
Thalassoma,lucasanum
Lutjanus,guttatus
Dicentrarchus,labrax
Morone,chrysops
Morone,saxatilis
Chelon,subviridis
Mugil,cephalus
Gobionotothen,gibberifrons
Lepidonotothen,squamifrons
Notothenia,coriiceps
Pagothenia,borchgrevinki
Trematomus,bernacchii
Trematomus,hansoni
Hypomesus,transpacificus
Osmerus,mordax
Etheostoma,blennioides
Etheostoma,caeruleum
Etheostoma,flabellare
Etheostoma,nigrum
Etheostoma,spectabile
Gymnocephalus,cernua
Perca,flavescens
Perca,fluviatilis
Sander,vitreus
Gambusia,affinis
Heterandria,formosa
Poecilia,mexicana
Abudefduf,saxatilis
Coregonus,artedi
Coregonus,clupeaformis
Oncorhynchus,kisutch
Oncorhynchus,mykiss
Salmo,trutta
Salvelinus,alpinus
Salvelinus,fontinalis
Salvelinus,namaycush
Thymallus,arcticus
Scatophagus,argus
Aplodinotus,grunniens
Diplodus,vulgaris
Terapon,jarbua
Sphoeroides,annulatus
