genus_species,range_status
Litoria peronii,NA
Litoria rubella,NA
Mixophyes fasciolatus,NA
Neobatrachus pictus,we have range data
Pseudacris crucifer,NA
Pseudophryne bibronii,NA
Quasipaa spinosa,NA
Necturus maculosus,NA
Anaxyrus boreas,NA
Anaxyrus cognatus,NA
Crinia parinsignifera,NA
Desmognathus ochrophaeus,we have range data
Geocrinia victoriana,NA
Litoria bicolor,NA
Litoria chloris,NA
Litoria ewingii,NA
Litoria phyllochroa,NA
Litoria rothii,NA
Litoria verreauxii,NA
Odontophrynus occidentalis,NA
Desmognathus monticola,NA
Plethodon cinereus,NA
Plethodon jordani,NA
Ambystoma triseriata,NA
Hyperolius viridiflavus,NA
Acipenser brevirostrum,NA
Ambassis ambassis,NA
Apogon dovii,we have range data
Apogon pacificus,NA
Lipophrys pholis,NA
Lipophrys trigloides,we have range data
Carpiodes cyprinus,we have range data
Catostomus commersonii,NA
Hypentelium nigricans,we have range data
Ambloplites rupestris,NA
Lepomis cyanellus,we have range data
Lepomis gibbosus,we have range data
Lepomis macrochirus,we have range data
Lepomis megalotis,we have range data
Micropterus dolomieu,we have range data
Micropterus punctulatus,we have range data
Micropterus salmoides,we have range data
Pomoxis annularis,NA
Pomoxis nigromaculatus,NA
Lates calcarifer,NA
Chaenocephalus aceratus,NA
Chionodraco rastrospinosus,NA
Gymnocharacinus bergii,NA
Etroplus suratensis,NA
Oreochromis mossambicus,NA
Cirrhitichthys oxycephalus,range data missing
Dorosoma cepedianum,NA
Sardinops sagax,NA
Cottus bairdii,we have range data
Cottus carolinae,NA
Cottus gobio,NA
Campostoma anomalum,range data missing
Carassius auratus,NA
Carassius carassius,NA
Chrosomus erythrogaster,NA
Couesius plumbeus,NA
Ctenopharyngodon idella,NA
Cyprinella lutrensis,we have range data
Cyprinella spiloptera,we have range data
Cyprinus carpio,NA
Danio rerio,NA
Gobio gobio,NA
Hybognathus placitus,we have range data
Hypophthalmichthys nobilis,NA
Labeo rohita,NA
Leuciscus idus,NA
Luxilus chrysocephalus,we have range data
Luxilus cornutus,we have range data
Notemigonus crysoleucas,we have range data
Notropis atherinoides,we have range data
Notropis hudsonius,NA
Notropis rubellus,we have range data
Notropis stramineus,we have range data
Pimephales notatus,we have range data
Pimephales promelas,we have range data
Rhinichthys atratulus,we have range data
Rhinichthys osculus,we have range data
Rutilus rutilus,NA
Scardinius erythrophthalmus,NA
Semotilus atromaculatus,we have range data
Siphateles bicolor,NA
Squalius cephalus,NA
Cyprinodon bovinus,NA
Cyprinodon dearborni,range data missing
Cyprinodon nevadensis,NA
Gobiomorphus basalis,NA
Gobiomorphus cotidianus,NA
Esox lucius,NA
Esox masquinongy,NA
Fundulus diaphanus,NA
Fundulus heteroclitus,we have range data
Fundulus notatus,we have range data
Culaea inconstans,NA
Gobiesox strumosus,NA
Bathygobius fuscus,we have range data
Bathygobius ramosus,we have range data
Bathygobius soporator,we have range data
Coryphopterus urospilus,we have range data
Gobiosoma chiquita,NA
Gobius paganellus,NA
Haemulon flavolineatum,NA
Ameiurus catus,NA
Ameiurus melas,we have range data
Ameiurus natalis,we have range data
Ameiurus nebulosus,NA
Ictalurus punctatus,we have range data
Kuhlia sandvicensis,range data missing
Halichoeres dispilus,we have range data
Thalassoma lucasanum,we have range data
Lutjanus guttatus,we have range data
Dicentrarchus labrax,we have range data
Morone chrysops,NA
Morone saxatilis,NA
Chelon subviridis,NA
Mugil cephalus,NA
Gobionotothen gibberifrons,NA
Lepidonotothen squamifrons,NA
Notothenia coriiceps,NA
Pagothenia borchgrevinki,NA
Trematomus bernacchii,we have range data
Trematomus hansoni,we have range data
Hypomesus transpacificus,we have range data
Osmerus mordax,NA
Etheostoma blennioides,we have range data
Etheostoma caeruleum,we have range data
Etheostoma flabellare,we have range data
Etheostoma nigrum,we have range data
Etheostoma spectabile,we have range data
Gymnocephalus cernua,NA
Perca flavescens,NA
Perca fluviatilis,NA
Sander vitreus,NA
Gambusia affinis,we have range data
Heterandria formosa,NA
Poecilia mexicana,NA
Abudefduf saxatilis,range data missing
Coregonus artedi,NA
Coregonus clupeaformis,NA
Oncorhynchus kisutch,range data missing
Oncorhynchus mykiss,NA
Salmo trutta,we have range data
Salvelinus alpinus,NA
Salvelinus fontinalis,NA
Salvelinus namaycush,NA
Thymallus arcticus,NA
Scatophagus argus,NA
Aplodinotus grunniens,NA
Diplodus vulgaris,we have range data
Terapon jarbua,NA
Sphoeroides annulatus,NA
