id,order,family,genus,species,body_mass_g,age_at_maturity_min_y,age_at_maturity_max_y,body_size_mm,size_at_maturity_min_mm,size_at_maturity_max_mm,longevity_max_y
Anf0675,Anura,Bufonidae,Melanophryniscus,Melanophryniscus rubriventris,NA,NA,NA,45,NA,NA,NA
Anf0813,Anura,Bufonidae,Rhinella,Rhinella azarai,NA,NA,NA,NA,NA,NA,NA
Anf1387,Anura,Cycloramphidae,Odontophrynus,Odontophrynus occidentalis,NA,NA,NA,62,NA,NA,NA
Anf1843,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus coqui,NA,1,1,52,35,35,6
Anf1949,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus portoricensis,NA,NA,NA,42,NA,NA,NA
Anf2117,Anura,Hylidae,Acris,Acris crepitans,1.69,1,1,38,20,20,4.9
Anf2333,Anura,Hylidae,Hyla,Hyla versicolor,7.2,2,2,60,20,20,7.8
Anf2582,Anura,Hylidae,Pseudacris,Pseudacris triseriata,NA,NA,NA,39,NA,NA,NA
Anf2775,Anura,Hylidae,Litoria,Litoria bicolor,0.8,NA,NA,30,NA,NA,NA
Anf2782,Anura,Hylidae,Litoria,Litoria caerulea,50,NA,NA,100,NA,NA,20
Anf2828,Anura,Hylidae,Litoria,Litoria gracilenta,3.7,NA,NA,45,NA,NA,NA
Anf2880,Anura,Hylidae,Litoria,Litoria nasuta,10,NA,NA,50,NA,NA,NA
Anf2917,Anura,Hylidae,Litoria,Litoria rothii,6.5,NA,NA,55,NA,NA,NA
Anf2918,Anura,Hylidae,Litoria,Litoria rubella,3.08,NA,NA,35,NA,NA,NA
Anf3228,Anura,Hyperoliidae,Hyperolius,Hyperolius viridiflavus,NA,NA,NA,34,NA,NA,NA
Anf3263,Anura,Leiopelmatidae,Ascaphus,Ascaphus truei,NA,2,3,50,34,34,20
Anf3467,Anura,Limnodynastidae,Limnodynastes,Limnodynastes dorsalis,18.97,NA,NA,73,NA,NA,NA
Anf3472,Anura,Limnodynastidae,Limnodynastes,Limnodynastes peronii,12.17,NA,NA,72.8,NA,NA,NA
Anf3473,Anura,Limnodynastidae,Limnodynastes,Limnodynastes salmini,20.84,NA,NA,75,NA,NA,NA
Anf3474,Anura,Limnodynastidae,Limnodynastes,Limnodynastes tasmaniensis,3.37,0.25,0.3,50.5,NA,NA,NA
Anf3481,Anura,Limnodynastidae,Neobatrachus,Neobatrachus pictus,12.34,NA,NA,50,NA,NA,NA
Anf4356,Anura,Myobatrachidae,Crinia,Crinia signifera,1.9,1,4,32,9,20,7
Anf4372,Anura,Myobatrachidae,Mixophyes,Mixophyes fasciolatus,46.5,3.4,3.4,97,NA,NA,5.3
Anf5063,Anura,Rhacophoridae,Buergeria,Buergeria japonica,1.8,NA,NA,37,NA,NA,NA
Anf5388,Anura,Scaphiopodidae,Spea,Spea hammondii,NA,NA,NA,61,NA,NA,NA
Anf5985,Caudata,Ambystomatidae,Ambystoma,Ambystoma jeffersonianum,17.2,2,3,210,62,115,3
Anf5990,Caudata,Ambystomatidae,Ambystoma,Ambystoma macrodactylum,NA,1,3,248,53,53,10
Anf5991,Caudata,Ambystomatidae,Ambystoma,Ambystoma maculatum,24,2,3,248,53,53,32
Anf6003,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum,79,NA,NA,330,NA,NA,25
Anf6371,Caudata,Plethodontidae,Desmognathus,Desmognathus fuscus,NA,2,4,100.5,35,40,4.3
Anf6374,Caudata,Plethodontidae,Desmognathus,Desmognathus monticola,8.2,3.5,7,112.5,47,52.5,17.7
Anf6375,Caudata,Plethodontidae,Desmognathus,Desmognathus ochrophaeus,0.6,2,4,90.5,27,55,20
Anf6400,Caudata,Plethodontidae,Plethodon,Plethodon cinereus,65,1,5,412,32,62,25
Anf6407,Caudata,Plethodontidae,Plethodon,Plethodon glutinosus,65,2.5,2.5,206,48,48,20.1
Anf6412,Caudata,Plethodontidae,Plethodon,Plethodon jordani,4.94,3,5,184,NA,NA,19.8
Anf6453,Caudata,Plethodontidae,Eurycea,Eurycea bislineata,NA,3,4,123,61,67,NA
Anf6460,Caudata,Plethodontidae,Eurycea,Eurycea longicauda,NA,1,2,200,43,46,NA
Anf6461,Caudata,Plethodontidae,Eurycea,Eurycea lucifuga,NA,3,3,181,NA,NA,9.1
Anf6462,Caudata,Plethodontidae,Eurycea,Eurycea multiplicata,NA,0.5,1,160,28,45,NA
Anf6491,Caudata,Proteidae,Necturus,Necturus maculosus,220.1,5,8,486,127,200,34
Anf6530,Caudata,Salamandridae,Notophthalmus,Notophthalmus viridescens,3.9,0.5,5.5,140,51,90,25
Anf6552,Caudata,Salamandridae,Taricha,Taricha torosa,NA,3,3,197,90,90,21.8
