degrees,minutes,hemisphere,Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
18,,southern,Hyla,glauerti,37.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Ctmax assessed by measuring the cloacal temperature for all species in Brattstrom_1970
18,,southern,Hyla,glauerti,38.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Season is according the appropriate hemisphere
18,,southern,Hyla,glauerti,41.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,glauerti,41.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,glauerti,39,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,glauerti,40.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,glauerti,39.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,glauerti,40.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,glauerti,37.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,glauerti,38.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
