"ID" "AIRTQ95" "BURRTQ95" "TeShadeQ95" "AIRTQ95_nobehav" "TeSunQ95_nobehav"
"1" 290 38.8290910420311 36.4503514827823 44.2253953744225 38.8290910420311 44.2253953744225
"2" 291 38.8286739535208 36.449856691238 44.2247314460661 38.8286739535208 44.2247314460661
"3" 292 38.8282564983375 36.4493614432945 44.2240669396839 38.8282564983375 44.2240669396839
"4" 293 38.8278386764912 36.4488657389804 44.2234018552955 38.8278386764912 44.2234018552955
"5" 294 36.6978210975367 11.7600741283186 46.5117019693589 36.6978210975367 46.5117019693589
"6" 3006 40.8847324097343 37.3619371024506 46.8027837493065 40.8847324097343 46.8027837493065
"7" 3007 25.2360780619168 19.3119281525408 NA 35.9060518822963 NA
"8" 3008 25.6648675612422 19.7623582989403 NA 35.9061668065768 NA
"9" 3009 25.6648675612422 19.7623582989403 NA 35.9061668065768 NA
"10" 3010 40.8847324097343 37.3619371024506 46.8027837493065 40.8847324097343 46.8027837493065
"11" 333 20.5551840002012 16.6066806010994 22.314889879411 27.5691661211768 29.9061310849722
"12" 334 20.5551840002012 16.6066806010994 22.314889879411 27.5691661211768 29.9061310849722
"13" 337 15.9795670750099 13.7754551233805 18.0526859653796 18.3486581832423 20.6206580143222
"14" 338 15.9795670750099 13.7754551233805 18.0526859653796 18.3486581832423 20.6206580143222
"15" 2078 35.5919792332955 16.3204758665587 43.7987325521092 35.5919792332955 43.7987325521092
"16" 2079 35.5919792332955 16.3204758665587 43.7987325521092 35.5919792332955 43.7987325521092
"17" 2080 35.5919792332955 16.3204758665587 43.7987325521092 35.5919792332955 43.7987325521092
"18" 2081 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"19" 2082 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"20" 2083 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"21" 2084 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"22" 2085 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"23" 2086 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"24" 2087 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"25" 2088 38.2559593057798 17.40932168784 47.0994131278123 38.2559593057798 47.0994131278123
"26" 1098 35.9459633448784 29.6766080498518 39.5264690096293 46.9313134875128 51.7746767831289
"27" 1099 32.20423247407 28.1200816078338 35.5836801094159 41.596856993663 46.0000172969362
"28" 335 20.525220725801 16.9412944790992 22.4700928782567 27.1748628091758 29.7226415080607
"29" 336 20.525220725801 16.9412944790992 22.4700928782567 27.1748628091758 29.7226415080607
"30" 2849 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"31" 2850 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"32" 2851 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"33" 2855 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"34" 2856 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"35" 2857 19.5697198495934 16.8494562648808 NA 28.1808119113227 NA
"36" 2018 29.2044797395415 24.2128032291192 32.1446929720315 41.8560885013718 45.8853859757032
"37" 2019 29.2044797395415 24.2128032291192 32.1446929720315 41.8560885013718 45.8853859757032
"38" 2020 20.3248090223951 16.6335507006896 23.1418668231308 30.1555679465716 33.6542268251787
"39" 2021 20.3248090223951 16.6335507006896 23.1418668231308 30.1555679465716 33.6542268251787
"40" 2022 33.7834397745241 29.5964287376115 36.4620677046043 33.7834397745241 36.4620677046043
"41" 2023 33.7834397745241 29.5964287376115 36.4620677046043 33.7834397745241 36.4620677046043
"42" 2024 30.1973366315413 26.6719513668964 32.5206561903655 30.1973366315413 32.5206561903655
"43" 2025 30.1973366315413 26.6719513668964 32.5206561903655 30.1973366315413 32.5206561903655
"44" 2026 20.7981034167235 17.2702561892837 22.4942702973201 28.1153962767958 30.3515192015286
"45" 2027 20.7981034167235 17.2702561892837 22.4942702973201 28.1153962767958 30.3515192015286
"46" 2028 20.2518994336955 16.5368168109967 22.0055246609096 26.2892753562373 28.4526370230799
"47" 2029 20.2518994336955 16.5368168109967 22.0055246609096 26.2892753562373 28.4526370230799
"48" 2030 20.2518994336955 16.5368168109967 22.0055246609096 26.2892753562373 28.4526370230799
