genus_species,latitude,longitude
Oncorhynchus mykiss,33.93,-109.93
Oncorhynchus mykiss,38.63,-121.22
Oncorhynchus mykiss,47.29,-89.98
Oncorhynchus mykiss,48.16,-86.74
Oncorhynchus mykiss,52.37,-1.18
Oncorhynchus mykiss,44.44,-85.72
Oncorhynchus mykiss,-36.41,148.63
Oncorhynchus mykiss,36.94,-81.05
Salmo trutta,36.94,-81.05
Salmo trutta,NA,NA
Salmo trutta,33.99,-110.15
Salmo trutta,55.04,-1.43
Salmo trutta,52.37,-1.18
Salmo trutta,52.72,18.54
Salvelinus alpinus,54.4,-2.95
Salvelinus alpinus,54.31,-2.95
Salvelinus fontinalis,36.94,-81.05
Salvelinus fontinalis,NA,NA
Salvelinus fontinalis,33.99,-110.15
Salvelinus fontinalis,51.51,-86.68
Salvelinus namaycush,NA,NA
Salvelinus namaycush,48.44,-90.73
Salvelinus namaycush,48.17,-91.3
Salvelinus namaycush,45.73,-78.4
Salvelinus namaycush,45.76,-81.96
Salvelinus namaycush,51.26,-115.37
Thymallus arcticus,NA,NA
Thymallus arcticus,45.66,-112.9
Scatophagus argus,13.21,100.93
Scatophagus argus,11.49,79.77
Aplodinotus grunniens,38.34,-90.37
Aplodinotus grunniens,42.08,-81.34
Diplodus vulgaris,38.82,-9
Diplodus vulgaris,45,NA
Terapon jarbua,-5.47,123.76
Terapon jarbua,11.49,79.76
Terapon jarbua,11.49,79.77
Sphoeroides annulatus,24.82,-107.37
Sphoeroides annulatus,31.29,-113.54
Zoarces viviparus,54.46,10.24
Zoarces viviparus,54.19,7.91
