genus_species,latitude,longitude
Calathus melanocephalus,60.36,7.35
Anguilla australis,-36.6,174.5
Desmognathus fuscus,39.778,-84.69
Rana clamitans,42,-73.135
Ambystoma tigrinum,40.841,-99.101
Eurycea bislineata,39.778,-84.69
Lithobates catesbeiana,42,-73.135
Lithobates pipiens,43.6805335,-90.082397
Rhinella marina,9.152,-79.846
Rhinella marina,5.838385,-75.2233885
Anaxyrus americanus,34.683,-82.837
Anaxyrus woodhousii,34.683,-82.837
Lithobates sylvaticus,35.053,-83.197
Pseudacris regilla,46.77,-113.714
Pseudacris triseriata,34.683,-82.837
Rhinella marina,17.706,-64.859
Hyla versicolor,41.569,-80.456
Lithobates catesbeiana,39.507,-84.745
Lithobates sylvaticus,39.435,-84.203
Lithobates sylvaticus,47.165,-95.197
Pseudacris triseriata,40.696,-105.594
Rhinella granulosa,-27.087,-54.95
Acris crepitans,42.779,-96.929
Lithobates pipiens,33.323,-87.46
Pseudacris triseriata,42.779,-96.929
Desmognathus fuscus,37.375,-80.523
Desmognathus quadramaculatus,37.375,-80.523
Notophthalmus viridescens,37.375,-80.523
Acris crepitans,37.626,-89.498
Acris crepitans,40.514,-88.991
Ambystoma jeffersonianum,40.203,-77.195
Ambystoma maculatum,40.203,-77.195
Ambystoma tigrinum,32.32,-106.764
Ambystoma tigrinum,33.126,-105.752
Ascaphus truei,46.989,-114.015
Buergeria japonica,23.456,120.605
Buergeria japonica,24.553,121.5
Crinia signifera,-27.559,152.276
Eleutherodactylus portoricensis,18.403,-66.05
Eleutherodactylus portoricensis,18.295,-65.8
Hyla versicolor,39.965,-74.312
Limnodynastes dorsalis,-27.372,152.867
Limnodynastes dorsalis,-37.064,144.217
Limnodynastes peronii,-27.553,153.056
Limnodynastes salmini,-27.553,153.056
Limnodynastes tasmaniensis,-34.929,138.6
Lithobates berlandieri,22.7963195,-95.51239
Litoria aurea,-34.929,138.6
Litoria caerulea,-20.401,148.58
Litoria caerulea,-27.471,153.023
Litoria caerulea,-27.372,152.867
Litoria fallax,-27.553,153.056
Litoria freycineti,-26.858,152.958
Litoria gracilenta,-27.471,153.023
Litoria gracilenta,-27.553,153.056
Litoria lesueuri,-27.372,152.867
