Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.3,-66.13,Freshwater,experimental,10,NA,NA,dynamic,LOE,0.1,NA,NA,NA,NA,27.6,0.35,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.3,-66.13,Freshwater,experimental,15,NA,NA,dynamic,LOE,0.1,NA,NA,NA,NA,31.5,0.91,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.3,-66.13,Freshwater,experimental,20,NA,NA,dynamic,LOE,0.1,NA,NA,NA,NA,32.8,1.17,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.5,7,NA,dynamic,LOE,0.1,NA,135.00,10.7,juveniles,33.7,1.62,29,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.1,7,NA,dynamic,LOE,0.1,NA,135.00,10.7,juveniles,35.1,1.13,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.5,7,NA,dynamic,death,0.1,NA,135.00,10.7,juveniles,34.8,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.1,7,NA,dynamic,death,0.1,NA,135.00,10.7,juveniles,36.1,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,20,7,NA,static,death,NA,1440,NA,NA,NA,35.49,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,25,7,NA,static,death,NA,1440,NA,NA,NA,36.47,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,28,7,NA,static,death,NA,1440,NA,NA,NA,37.02,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,30,7,NA,static,death,NA,1440,NA,NA,NA,37.54,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,35,7,NA,static,death,NA,1440,NA,NA,NA,38.54,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,South Africa,-30.86,25.14,Freshwater,experimental,24,14,NA,static,death,NA,7080,NA,NA,NA,36.5,NA,10,yes,Freshwater,Martin 1988,125
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,dynamic,OS,1,NA,NA,NA,NA,40.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,dynamic,LOE,1,NA,NA,NA,NA,38.5,NA,10,yes,Freshwater,Rajaguru 2002,160
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28,NA,NA,static,death,NA,1440,NA,NA,NA,37.02,0.13,10,yes,Freshwater,Rajaguru 2002,160
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15,1,NA,static,death,NA,5760,NA,NA,fingerlings,35.7,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15,1,NA,static,death,NA,5760,NA,NA,adults,39.7,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15,NA,NA,static,death,NA,NA,NA,NA,fingerlings,28,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,12,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,35.9,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,20,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,35.9,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,21.5,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,36,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,22,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,36.3,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,25,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,37.3,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,28,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,38.1,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,12,7,2,dynamic,LOE,0.5,NA,58-108,NA,NA,33.4,1,13,yes,Freshwater,Simons 1984,180
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,20,7,2,dynamic,LOE,0.5,NA,67-128,NA,NA,35.6,1.53,16,yes,Freshwater,Simons 1984,180
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,21.5,7,2,dynamic,LOE,0.5,NA,62-88,NA,NA,36,0.62,12,yes,Freshwater,Simons 1984,180
Apogonidae,Apogon dovii,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.5,1,NA,dynamic,LOE,0.02,NA,29.00,NA,NA,37.04,0.34,28,no,Marine,Mora & Ospína 2001,137
Apogonidae,Apogon dovii,Gorgona Island reefs Columbia,2.99,-78.2,Marine,experimental,26.5,1,NA,dynamic,death,0.02,NA,29.30,NA,NA,36.43,0.76,27,no,Marine,Ospína & Mora 2004,146
Apogonidae,Apogon dovii,Pacific ocean Panama,7.33,-80.21,Marine,collection,28,NA,NA,dynamic,death,0.0383,NA,NA,NA,NA,37.23,0.88,12,no,Marine,Graham 1971,80
Apogonidae,Apogon pacificus,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.5,1,NA,dynamic,LOE,0.02,NA,37.00,NA,NA,40.52,0.58,37,yes,Marine,Mora & Ospína 2001,137
Apogonidae,Apogon pacificus,Gorgona Island reefs Columbia,2.99,-78.2,Marine,experimental,26.5,1,NA,dynamic,death,0.02,NA,37.54,NA,NA,34.65,0.39,34,yes,Marine,Ospína & Mora 2004,146
Blenniidae,Lipophrys pholis,Portuguese West coast,38.71,-9.49,Marine,experimental,20,7,NA,dynamic,LOE,0.02,NA,79.50,NA,NA,33.9,0.4,12,yes,Marine,Vinagre et al. 2013,204
Blenniidae,Lipophrys pholis,Port Erin Isle of Man,54.09,-4.76,Marine,experimental,10,30,NA,dynamic,death,0.07,NA,NA,NA,NA,32.5,NA,10,yes,Marine,Campbell & Davies 1975,31
Blenniidae,Lipophrys pholis,Port Erin Isle of Man,54.09,-4.76,Marine,experimental,20,30,NA,dynamic,death,0.07,NA,NA,NA,NA,35.1,NA,10,yes,Marine,Campbell & Davies 1975,31
Blenniidae,Lipophrys trigloides,Tagus Brackish Portugal,38.82,-9,Brackish,experimental,24,14,NA,dynamic,LOE,0.02,NA,67.33,NA,NA,34,0.49,9,yes,Marine,Madeira et al. 2012,119
Blenniidae,Lipophrys trigloides,Portuguese West coast,38.71,-9.49,Marine,experimental,20,7,NA,dynamic,LOE,0.02,NA,65.30,NA,NA,35,0.2,4,yes,Marine,Vinagre et al. 2013,204
Catostomidae,Carpiodes cyprinus,Indian Creek Ohio US,39.97,-82.81,Freshwater,collection,24,NA,NA,dynamic,LOE,0.8,NA,50.00,NA,NA,38.8,0.8,6,no,Freshwater,Mundahl 1990,140
Catostomidae,Carpiodes cyprinus,Lake Erie,42.08,-81.34,Freshwater,collection,23.3,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,37.2,NA,NA,no,Freshwater,Spotila et al. 1979,186
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,35.1,0.53,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,LOE,0.3,NA,30-70,NA,NA,37,0.71,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,36.5,0.35,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,flaring operculum,0.3,NA,30-70,NA,NA,37.3,0.71,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,25,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,36.9,0.35,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,NA,NA,NA,Freshwater,experimental,30,14,NA,dynamic,death,0.3,NA,30-70,NA,NA,37.6,0.35,12,no,Freshwater,Carveth et al. 2006,35
Catostomidae,Catostomus clarkii,Virgin River Utha US,37.2,-113.26,Freshwater,experimental,10,14,NA,dynamic,LOE,0.24,NA,124.60,16.35,NA,32.2,0.64,6,no,Freshwater,Deacon et al. 1987,56
Catostomidae,Catostomus clarkii,Virgin River Utha US,37.2,-113.26,Freshwater,experimental,25,14,NA,dynamic,LOE,0.24,NA,124.60,16.35,NA,37.17,0.5,6,no,Freshwater,Deacon et al. 1987,56
Catostomidae,Catostomus commersonii,NA,NA,NA,Freshwater,experimental,26,NA,NA,dynamic,LOE,0.017,NA,NA,NA,NA,34.9,0.25,5,yes,Freshwater,Beitinger et al. 2000,12
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,1440,NA,NA,larvae,29,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,2880,NA,NA,larvae,29,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,8.9,NA,NA,static,death,NA,5760,NA,NA,larvae,28.6,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,1440,NA,NA,larvae,31.1,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,2880,NA,NA,larvae,31,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.2,NA,NA,static,death,NA,5760,NA,NA,larvae,30,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,1440,NA,NA,larvae,31.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,21.1,NA,NA,static,death,NA,5760,NA,NA,larvae,28.2,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,10,NA,NA,static,death,NA,1440,NA,NA,larvae,28.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,10,NA,NA,static,death,NA,2880,NA,NA,larvae,28.5,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,10,NA,NA,static,death,NA,5760,NA,NA,larvae,28.1,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.8,NA,NA,static,death,NA,1440,NA,NA,larvae,30.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Catostomidae,Catostomus commersonii,Greenwood Lake Michigan Michigan US,43.22,-86.35,Freshwater,experimental,15.8,NA,NA,static,death,NA,2880,NA,NA,larvae,30.7,NA,NA,yes,Freshwater,Yoder et al. 2012,213
