genus_species,population_id,acclim_temp,latitude,longitude,genus,species,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,location_description,ref,life_stage,phylum,class,order,family,realm_specific,realm_general,notes,extractor,original_compilation,n_cat,record_number,record,family1,family2,genus2,species2,family3,genus3,species3,n_comment,raw_ctm2,acclim,acclim_time_life_120,log_acclim_time,safety,photoperiod,ep1,ep2,elevation,log_elevation,geog_cat,abs_lat,log_abs_lat,source,comments,year,citation,range,log_range,introduced,elev_min,elev_max,svl,log_svl,tmxslope,bioclim5,iucn_2014,iucn_2104risk,sampling_habitat,acclimation,rate_acclimation_c_day,methodology,length_experiment_min,body_length_mm,weight_g,phylogeny,reference,realm_general2,realm_general3,acclim_time_original,acclim_time_units
Rhinichthys cobitis,Rhinichthys cobitis_34.048927,25,34.048927,-111.093735,Rhinichthys,cobitis,14,36.5,tmax,0.1,CI,12,lethal,death,0.3,NA,NA,held,Summer/Spring,NA,Arizona_Argentina?,Carveth_et_al_2006,adult,Chordata,Actinopteri,Cypriniformes,Cyprinidae,creek,freshwater,Specific location where individuals were collected is unclear (some taken from tanks in Argentina?),group,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,14d,days
Rhinichthys cobitis,Rhinichthys cobitis_34.048927,30,34.048927,-111.093735,Rhinichthys,cobitis,14,36.1,tmax,0.3,CI,12,critical,initial_loss_equilibium,0.3,NA,NA,held,Summer/Spring,NA,Arizona_Argentina?,Carveth_et_al_2006,adult,Chordata,Actinopteri,Cypriniformes,Cyprinidae,creek,freshwater,Specific location where individuals were collected is unclear (some taken from tanks in Argentina?),group,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,14d,days
Rhinichthys cobitis,Rhinichthys cobitis_34.048927,30,34.048927,-111.093735,Rhinichthys,cobitis,14,36.4,tmax,0.3,CI,12,critical,final_loss_equilibrium,0.3,NA,NA,held,Summer/Spring,NA,Arizona_Argentina?,Carveth_et_al_2006,adult,Chordata,Actinopteri,Cypriniformes,Cyprinidae,creek,freshwater,Specific location where individuals were collected is unclear (some taken from tanks in Argentina?),group,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,14d,days
Rhinichthys cobitis,Rhinichthys cobitis_34.048927,30,34.048927,-111.093735,Rhinichthys,cobitis,14,36.5,tmax,0.4,CI,12,critical,flaring_opercula,0.3,NA,NA,held,Summer/Spring,NA,Arizona_Argentina?,Carveth_et_al_2006,adult,Chordata,Actinopteri,Cypriniformes,Cyprinidae,creek,freshwater,Specific location where individuals were collected is unclear (some taken from tanks in Argentina?),group,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,14d,days
Rhinichthys cobitis,Rhinichthys cobitis_34.048927,30,34.048927,-111.093735,Rhinichthys,cobitis,14,36.8,tmax,0.5,CI,12,lethal,death,0.3,NA,NA,held,Summer/Spring,NA,Arizona_Argentina?,Carveth_et_al_2006,adult,Chordata,Actinopteri,Cypriniformes,Cyprinidae,creek,freshwater,Specific location where individuals were collected is unclear (some taken from tanks in Argentina?),group,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,14d,days
Anolis roquet,Anolis roquet_14.85,25,14.85,-61.09,Anolis,roquet,10,36,tmax,0.1,SE,7,critical,loss_righting_responses,1,NA,NA,held,summer,20,"Anse Clavet, Martinique",Hertz_1981,NA,Chordata,Lepidosauria,Squamata,Iguanidae,closed_canopy_coastal_forest,terrestrial,Two subspecies collected : A. roquet summus & A. roquet majolgris,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,10-14,days
Anolis roquet,Anolis roquet_14.82,25,14.82,-61.11,Anolis,roquet,10,35.9,tmax,0.2,SE,7,critical,loss_righting_responses,1,NA,NA,held,summer,175,"Habitation Ajoupa, Martinique",Hertz_1981,NA,Chordata,Lepidosauria,Squamata,Iguanidae,banana_grove,terrestrial,Two subspecies collected : A. roquet summus & A. roquet majolgris,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,10-14,days
Anolis roquet,Anolis roquet_14.81,24,14.81,-61.12,Anolis,roquet,10,35.9,tmax,0.2,SE,8,critical,loss_righting_responses,1,NA,NA,held,summer,350,"Habitation Eden, Martinique",Hertz_1981,NA,Chordata,Lepidosauria,Squamata,Iguanidae,banana_grove,terrestrial,Only subspecies A. r. summus,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,10-14,days
Anolis roquet,Anolis roquet_14.79,25,14.79,-61.14,Anolis,roquet,10,35.5,tmax,0.2,SE,11,critical,loss_righting_responses,1,NA,NA,held,summer,500,"Petite Savane, Martinique",Hertz_1981,NA,Chordata,Lepidosauria,Squamata,Iguanidae,wet_roadside_vegetation,terrestrial,Only subspecies A. r. summus,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,10-14,days
Anolis roquet,Anolis roquet_14.8,25,14.8,-61.14,Anolis,roquet,10,35.2,tmax,0.2,SE,9,critical,loss_righting_responses,1,NA,NA,held,summer,650,"Morne Calebasse, Martinique",Hertz_1981,NA,Chordata,Lepidosauria,Squamata,Iguanidae,elfin_forest,terrestrial,Only subspecies A. r. summus,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,10-14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,10,24.14,121.28,Takydromus,hsuehshaner,14,43.1,tmax,0.2,SE,NA,critical,loss_righting_responses,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,20,24.14,121.28,Takydromus,hsuehshaner,14,43.5,tmax,0.1,SE,NA,critical,loss_righting_responses,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,30,24.14,121.28,Takydromus,hsuehshaner,14,44.1,tmax,0.1,SE,NA,critical,loss_righting_responses,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,10,24.14,121.28,Takydromus,hsuehshaner,14,43.4,tmax,0.2,SE,NA,critical,onset_spasms,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,20,24.14,121.28,Takydromus,hsuehshaner,14,43.8,tmax,0.2,SE,NA,critical,onset_spasms,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,30,24.14,121.28,Takydromus,hsuehshaner,14,44.3,tmax,0.1,SE,NA,critical,onset_spasms,NA,NA,NA,25,summer,2400-3200,"Mt. Hehuan, Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,10,24.14,121.28,Takydromus,hsuehshaner,14,2.1,tmin,0.8,SD,12,critical,loss_righting_responses,NA,NA,NA,25,summer,NA,"Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,20,24.14,121.28,Takydromus,hsuehshaner,14,3,tmin,0.5,SD,12,critical,loss_righting_responses,NA,NA,NA,25,summer,NA,"Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Takydromus hsuehshaner,Takydromus hsuehshaner_24.14,30,24.14,121.28,Takydromus,hsuehshaner,14,4.5,tmin,1,SD,12,critical,loss_righting_responses,NA,NA,NA,25,summer,NA,"Nantou County, Taiwan",Huang_&_Tu_2008a,males_adults,Chordata,Lepidosauria,Squamata,Lacertidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,14,days
Calathus melanocephalus,Calathus melanocephalus_59.29,5,59.29,10.8,Calathus,melanocephalus,22,-3.8,tmin,NA,NA,10,critical,chill_coma,1,NA,NA,13,fall,5-20,"Eastside Oslo Fjord, Norway",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,22,days
Calathus melanocephalus,Calathus melanocephalus_52.91,5,52.91,6.63,Calathus,melanocephalus,43,-2.6,tmin,NA,NA,10,critical,chill_coma,1,NA,NA,13,summer,13,"Drenthe, Netherlands",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,43,days
Calathus melanocephalus,Calathus melanocephalus_60.36,13,60.36,7.35,Calathus,melanocephalus,31,-3.9,tmin,NA,NA,10,critical,chill_coma,1,NA,NA,5,summer,1200,"Hardangervidda, Norway",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,31,days
Calathus melanocephalus,Calathus melanocephalus_60.36,21,60.36,7.35,Calathus,melanocephalus,31,-0.5,tmin,NA,NA,15,critical,chill_coma,1,NA,NA,5,summer,1200,"Hardangervidda, Norway",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,31,days
Calathus melanocephalus,Calathus melanocephalus_52.91,21,52.91,6.63,Calathus,melanocephalus,43,-0.1,tmin,NA,NA,16,critical,chill_coma,1,NA,NA,13,summer,13,"Drenthe, Netherlands",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,43,days
Calathus melanocephalus,Calathus melanocephalus_59.29,21,59.29,10.8,Calathus,melanocephalus,22,0.3,tmin,NA,NA,14,critical,chill_coma,1,NA,NA,13,fall,5-20,"Eastside Oslo Fjord, Norway",Nylund_1991,adults,Arthropoda,Insecta,Coleoptera,Carabidae,NA,terrestrial,NA,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,22,days
Anguilla australis,Anguilla australis_-36.6,15,-36.6,174.5,Anguilla,australis,1,35.7,tmax,NA,NA,15,lethal,50,NA,NA,1,held,NA,37,"North Island, New Zealand",Richardson_et_al_1994,elvers,Chordata,Actinopteri,Anguilliforme,Anguillidae,NA,freshwater native,They exposed the fish 10 min and increased temperature by interval of 2-5°C.,FV,intratherm_team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,Aquatic,1,days
Desmognathus fuscus,Desmognathus fuscus_39.778,25,39.778,-84.69,Desmognathus,fuscus,0,33.4,tmax,NA,NA,7,NA,Animals unresponsive to prodding,0.8,NA,NA,NA,NA,NA,"Preble County, Ohio","Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,0,days
Rana clamitans,Rana clamitans_42,23,42,-73.135,Rana,clamitans,0,29.9,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,NA,"Long Island, New York","Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Adult,NA,NA,Anura,NA,NA,Aquatic,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic,Aquatic,0,days
Desmognathus fuscus,Desmognathus fuscus_39.778,25,39.778,-84.69,Desmognathus,fuscus,0.5,34.1,tmax,NA,NA,7,NA,Animals unresponsive to prodding,0.8,NA,NA,NA,NA,NA,"Preble County, Ohio","Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,0.5,days
Ambystoma tigrinum,Ambystoma tigrinum_40.841,2,40.841,-99.101,Ambystoma,tigrinum,1,33.9,tmax,NA,NA,15,NA,Loss of righting response,1,NA,NA,NA,NA,NA,"Buffalo County, Nebraska","Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",larva,NA,NA,Caudata,NA,NA,Aquatic & terrestrial,NA,NA,Rohr,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic & terrestrial,Aquatic,1,days
Ambystoma tigrinum,Ambystoma tigrinum_40.841,28,40.841,-99.101,Ambystoma,tigrinum,1,37.6,tmax,NA,NA,15,NA,Loss of righting response,1,NA,NA,NA,NA,NA,"Buffalo County, Nebraska","Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",larva,NA,NA,Caudata,NA,NA,Aquatic & terrestrial,NA,NA,Rohr,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic & terrestrial,Aquatic,1,days
Desmognathus fuscus,Desmognathus fuscus_39.778,25,39.778,-84.69,Desmognathus,fuscus,1,34.8,tmax,NA,NA,7,NA,Animals unresponsive to prodding,0.8,NA,NA,NA,NA,NA,"Preble County, Ohio","Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,1,days
Eurycea bislineata,Eurycea bislineata_39.778,25,39.778,-84.69,Eurycea,bislineata,1,34.6,tmax,NA,NA,7,NA,Loss of righting response,0.8,NA,NA,NA,NA,NA,"Preble County, Ohio","Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,1,days
Eurycea bislineata,Eurycea bislineata_39.778,25,39.778,-84.69,Eurycea,bislineata,1,35.5,tmax,NA,NA,7,NA,Loss of righting response,0.8,NA,NA,NA,NA,NA,"Preble County, Ohio","Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,1,days
Lithobates catesbeiana,Lithobates catesbeiana_42,23,42,-73.135,Rana,catesbeiana,1,33.4,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,NA,"Long Island, New York","Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Adult,NA,NA,Anura,NA,NA,Aquatic & terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic & terrestrial,Aquatic,1,days
Lithobates pipiens,Lithobates pipiens_43.6805335,5,43.6805335,-90.082397,Rana,pipiens,1,31.3,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,NA,Supplier,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Adult,NA,NA,Anura,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,1,days
Lithobates pipiens,Lithobates pipiens_43.6805335,7,43.6805335,-90.082397,Rana,pipiens,1,31.8,tmax,NA,NA,3,NA,Loss of righting response,NA,NA,NA,NA,NA,NA,Supplier,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",Adult,NA,NA,Anura,NA,NA,Terrestrial,NA,NA,Rohr,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,Terrestrial,1,days
