assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
69003246,44937797,Bombus impatiens,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,impatiens,,,,"Cresson, 1863",Least Concern,,3.1,Stable,Global
69004061,44937898,Bombus mixtus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,mixtus,,,,"Cresson, 1878",Least Concern,,3.1,Stable,Global
69491782,155937,Musculium transversum,ANIMALIA,MOLLUSCA,VENEROIDA,BIVALVIA,SPHAERIIDAE,Musculium,transversum,,,,"(Say, 1829)",Least Concern,,3.1,Unknown,Global
69633098,69624258,Physella lordi,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PHYSIDAE,Physella,lordi,,,,"(Baird, 1863)",Least Concern,,3.1,Unknown,Global
69633138,69626187,Ferrissia rivularis,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Ferrissia,rivularis,,,,"(Say, 1817)",Least Concern,,3.1,Stable,Global
69633163,69626368,Helisoma anceps,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Helisoma,anceps,,,,"(Menke, 1830)",Least Concern,,3.1,Stable,Global
69633193,69626464,Planorbella subcrenata,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Planorbella,subcrenata,,,,"(Carpenter, 1857)",Least Concern,,3.1,Stable,Global
70401637,70401627,Hericium erinaceus,FUNGI,BASIDIOMYCOTA,RUSSULALES,AGARICOMYCETES,HERICIACEAE,Hericium,erinaceus,,,,(Bull.) Pers.,Least Concern,,3.1,Decreasing,Global
75104095,75104087,Fomitopsis officinalis,FUNGI,BASIDIOMYCOTA,POLYPORALES,AGARICOMYCETES,FOMITOPSIDACEAE,Fomitopsis,officinalis,,,,(Vill.) Bondartsev &amp; Singer,Endangered,A2ad,3.1,Decreasing,Global
75121859,75121617,Rhizopogon alexsmithii,FUNGI,BASIDIOMYCOTA,BOLETALES,AGARICOMYCETES,RHIZOPOGONACEAE,Rhizopogon,alexsmithii,,,,(Trappe) Vizzini &amp; Zotti,Endangered,"B2ab(ii,iv,v); C1+2a(i)",3.1,Decreasing,Global
76196249,76196246,Cortinarius cupreorufus,FUNGI,BASIDIOMYCOTA,AGARICALES,AGARICOMYCETES,CORTINARIACEAE,Cortinarius,cupreorufus,,,,Brandrud,Near Threatened,,3.1,Decreasing,Global
78457052,176004,Hammarbya paludosa,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Hammarbya,paludosa,,,,(L.) Kuntze,Least Concern,,3.1,Decreasing,Global
78457112,175931,Neottia cordata,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Neottia,cordata,,,,(L.) Rich.,Least Concern,,3.1,Unknown,Global
78457122,175967,Platanthera hyperborea,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Platanthera,hyperborea,,,,(L.) Lindl.,Least Concern,,3.1,Unknown,Global
78457192,175925,Spiranthes romanzoffiana,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Spiranthes,romanzoffiana,,,,Cham.,Least Concern,,3.1,Unknown,Global
78905810,54414,Ascaphus truei,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ASCAPHIDAE,Ascaphus,truei,,,,"Stejneger, 1899",Least Concern,,3.1,Unknown,Global
78905923,59358,Plethodon vehiculum,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Plethodon,vehiculum,,,,"(Cooper, 1860)",Least Concern,,3.1,Stable,Global
78906924,58553,Rana aurora,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Rana,aurora,,,,"Baird &amp; Girard, 1852",Least Concern,,3.1,Decreasing,Global
78909317,59469,Taricha granulosa,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,SALAMANDRIDAE,Taricha,granulosa,,,,"(Skilton, 1849)",Least Concern,,3.1,Stable,Global
78909622,59119,Aneides vagrans,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Aneides,vagrans,,,,"Wake &amp; Jackman, 1998",Near Threatened,,3.1,Decreasing,Global
79515482,79515478,Tricholoma apium,FUNGI,BASIDIOMYCOTA,AGARICALES,AGARICOMYCETES,TRICHOLOMATACEAE,Tricholoma,apium,,,,Jul. Schäff.,Vulnerable,A2d+3d+4d,3.1,Decreasing,Global
80671059,39328,Squatina californica,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,californica,,,,"Ayres, 1859",Near Threatened,,3.1,Decreasing,Global
80672988,39396,Tetronarce californica,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,TORPEDINIDAE,Tetronarce,californica,,,,"(Ayres, 1855)",Least Concern,,3.1,Unknown,Global
80676077,161375,Bathyraja trachura,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,ARHYNCHOBATIDAE,Bathyraja,trachura,,,,"(Gilbert, 1892)",Least Concern,,3.1,Stable,Global
80676476,161452,Amblyraja badia,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Amblyraja,badia,,,,"(Garman, 1899)",Least Concern,,3.1,Unknown,Global
80678052,60191,Hydrolagus colliei,ANIMALIA,CHORDATA,CHIMAERIFORMES,CHONDRICHTHYES,CHIMAERIDAE,Hydrolagus,colliei,,,,"(Lay &amp; Bennett, 1839)",Least Concern,,3.1,Increasing,Global
80679344,44183,Beringraja binoculata,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Beringraja,binoculata,,,,"(Girard, 1855)",Least Concern,,3.1,Stable,Global
80958507,80603050,Allium validum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,AMARYLLIDACEAE,Allium,validum,,,,S.Watson,Least Concern,,3.1,Unknown,Global
80958517,80603211,Bidens amplissima,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Bidens,amplissima,,,,Greene,Near Threatened,,3.1,Decreasing,Global
80958532,80603334,Carex unilateralis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Carex,unilateralis,,,,Mack.,Least Concern,,3.1,Unknown,Global
80958547,80603495,Claytonia cordifolia,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,PORTULACACEAE,Claytonia,cordifolia,,,,S.Watson,Least Concern,,3.1,Unknown,Global
80958552,80603544,Claytonia sarmentosa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,PORTULACACEAE,Claytonia,sarmentosa,,,,C.A.Mey.,Least Concern,,3.1,Unknown,Global
80958557,80603599,Claytonia tuberosa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,PORTULACACEAE,Claytonia,tuberosa,,,,Pall. ex Schult.,Least Concern,,3.1,Unknown,Global
80958597,80605013,Juncus kelloggii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,kelloggii,,,,Engelm.,Data Deficient,,3.1,Unknown,Global
80958602,80605049,Juncus lesueurii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,lesueurii,,,,Bol.,Least Concern,,3.1,Unknown,Global
80958642,80606791,Sidalcea hendersonii,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Sidalcea,hendersonii,,,,S.Watson,Least Concern,,3.1,Unknown,Global
80973880,189129,Valvata tricarinata,ANIMALIA,MOLLUSCA,ALLOGASTROPODA,GASTROPODA,VALVATIDAE,Valvata,tricarinata,,,,"(Say, 1817)",Least Concern,,3.1,Stable,Global
81357901,81357846,Salix raupii,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Salix,raupii,,,,Argus,Data Deficient,,3.1,Unknown,Global
