internalTaxonId,scientificName,name,language,main
22693277,Actitis macularius,Spotted Sandpiper,English,true
22693305,Tringa incana,Wandering (Alaskan) Tattler,English,false
22693305,Tringa incana,Wandering Tattler,English,true
22693341,Arenaria melanocephala,Black Turnstone,English,true
22693344,Limnodromus griseus,Limnodrome à bec court,French,false
22693344,Limnodromus griseus,Short-billed Dowitcher,English,true
22693348,Limnodromus scolopaceus,Long-billed Dowitcher,English,true
22693356,Calidris virgata,Surfbird,English,true
22693373,Calidris pusilla,Semipalmated Sandpiper,English,true
22693376,Calidris mauri,Western Sandpiper,English,true
22693396,Calidris minutilla,Least Sandpiper,English,true
22693740,Pluvialis dominica,American Golden-Plover,English,false
22693740,Pluvialis dominica,Lesser Golden Plover,English,false
22693740,Pluvialis dominica,Pluvier doré américain,French,false
22693740,Pluvialis dominica,American Golden Plover,English,true
22693777,Charadrius vociferus,Killdeer,English,true
22695144,Haliaeetus leucocephalus,Bald Eagle,English,true
22695656,Accipiter cooperii,Cooper's Hawk,English,true
22695683,Accipiter gentilis,Eurasian Goshawk,English,false
22695683,Accipiter gentilis,Goshawk,English,false
22695683,Accipiter gentilis,Autour des palombes,French,false
22695683,Accipiter gentilis,Northern Goshawk,English,true
22695903,Buteo swainsoni,Swainson's Hawk,English,true
22695933,Buteo jamaicensis,Red-tailed Hawk,English,true
22695973,Buteo lagopus,Roughleg,English,false
22695973,Buteo lagopus,Rough-legged Buzzard,English,false
22695973,Buteo lagopus,Rough-legged Buzzard,English,true
22696060,Aquila chrysaetos,Aigle royal,French,false
22696060,Aquila chrysaetos,العقاب الذهبي,Arabic,false
22696060,Aquila chrysaetos,العقاب الذهبي عقاب,Arabic,false
22696060,Aquila chrysaetos,Golden Eagle,English,true
22696395,Falco sparverius,American Kestrel,English,true
22696453,Falco columbarius,Faucon émerillon,French,false
22696453,Falco columbarius,Merlin,English,true
22696504,Falco mexicanus,Prairie Falcon,English,true
22696574,Podilymbus podiceps,Pied-billed Grebe,English,true
22696974,Egretta thula,Snowy Egret,English,true
22696998,Ardea herodias,Great Blue Heron,English,true
22697340,Botaurus lentiginosus,American Bittern,English,true
22699811,Contopus sordidulus,Western Wood Pewee,English,false
22699811,Contopus sordidulus,Western Wood-Pewee,English,false
22699811,Contopus sordidulus,Western Wood-pewee,English,true
22699848,Empidonax traillii,Willow Flycatcher,English,true
22699854,Empidonax minimus,Least Flycatcher,English,true
22699857,Empidonax hammondii,Hammond's Flycatcher,English,true
22699864,Empidonax oberholseri,Dusky Flycatcher,English,false
22699864,Empidonax oberholseri,American Dusky Flycatcher,English,true
22700506,Tyrannus tyrannus,Eastern Kingbird,English,true
22705228,Vireo cassinii,Cassin's Vireo,English,true
22705986,Corvus caurinus,North-western Crow,English,false
22705986,Corvus caurinus,Northwestern Crow,English,true
22708153,Bombycilla cedrorum,Cedar Waxwing,English,true
22708163,Cinclus mexicanus,American Dipper,English,true
22708385,Ixoreus naevius,Varied Thrush,English,true
22708667,Catharus guttatus,Hermit Thrush,English,true
103889499,Turdus migratorius,American Robin,English,true
22710946,Acridotheres cristatellus,Crested Myna,English,true
22711013,Dumetella carolinensis,Gray Catbird,English,false
22711013,Dumetella carolinensis,Grey Catbird,English,true
22711202,Sitta carolinensis,White-breasted Nuthatch,English,true
22711244,Certhia americana,American Tree-Creeper,English,false
